field,group_key,classification,driver_family,sample_size,campaign_count,synthetic_rows_used,cost_total,cost_mean,cost_median,cost_p10,cost_p90,cost_min,cost_max,estimator_readiness
DARAJAT,andalalin,campaign_tied,campaign_compliance,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thin_sample
DARAJAT,api_non_api_machine_shop_service,well_tied,well_scope,11,2,0,574372.14,52215.649091,54349.72,41026.32,78769.12,0.0,88305.13,ready
DARAJAT,asset_transfer,well_tied,well_scope,11,2,0,121277.22,11025.201818,6771.23,0.0,22400.72,0.0,31535.17,ready
DARAJAT,bits_reamer_and_core_heads,well_tied,well_scope,16,3,0,2687536.76,167971.0475,143421.25,82932.4,267924.0,0.0,321941.79,ready
DARAJAT,casing,well_tied,well_scope,16,3,0,7271791.03,454486.939375,437039.38,124716.065,800074.04,0.0,892680.61,ready
DARAJAT,casing_installation,well_tied,well_scope,16,3,0,980527.67,61282.979375,53522.195,28534.61,100758.355,0.0,147905.11,ready
DARAJAT,casing_repair_modif,well_tied,well_scope,6,1,0,212268.85,35378.141667,0.0,0.0,106134.425,0.0,212268.85,ready
DARAJAT,cement_cementing_pump_fees,well_tied,well_scope,16,3,0,8564060.02,535253.75125,504443.715,405152.255,777963.195,0.0,929785.71,ready
DARAJAT,construction,hybrid,pad_expansion_flag,5,3,0,3823479.31,764695.862,784372.53,160909.402,1382168.744,122872.65,1514304.52,ready
DARAJAT,consumables,well_tied,well_scope,11,2,0,199060.64,18096.421818,19820.82,7653.56,26370.44,0.0,26370.44,ready
DARAJAT,contract_rig,well_tied,well_scope,16,3,0,15297336.06,956083.50375,919209.835,597722.95,1313836.48,0.0,2233613.7,ready
DARAJAT,coring,well_tied,well_scope,11,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ready
DARAJAT,directional_drilling_surveys,well_tied,well_scope,15,3,0,6532895.17,435526.344667,401366.06,271196.092,703561.25,0.0,1096259.06,ready
DARAJAT,drill_cutting_transport_process,campaign_tied,waste_support,2,2,0,874481.83,437240.915,437240.915,432393.751,442088.079,431181.96,443299.87,thin_sample
DARAJAT,drilling_facilities_support,campaign_tied,shared_support,2,2,0,299359.58,149679.79,149679.79,118930.23,180429.35,111242.84,188116.74,thin_sample
DARAJAT,drilling_operation_water_support,campaign_tied,shared_support,3,3,0,1525283.68,508427.893333,383588.08,182518.944,884272.768,132251.66,1009443.94,ready
DARAJAT,drilling_safety_health_environment,well_tied,well_scope,16,3,0,440754.42,27547.15125,12953.515,3635.865,66301.4,0.0,128749.16,ready
DARAJAT,engineering,hybrid,pad_expansion_flag,6,2,0,167465.06,27910.843333,22345.59,5733.52,55653.42,0.0,55781.32,ready
DARAJAT,environment_permit,campaign_tied,campaign_compliance,2,2,0,38257.71,19128.855,19128.855,19000.203,19257.507,18968.04,19289.67,thin_sample
DARAJAT,environmental_monitoring,campaign_tied,campaign_compliance,2,2,0,31604.64,15802.32,15802.32,12106.064,19498.576,11182.0,20422.64,thin_sample
DARAJAT,equipment_rental,well_tied,well_scope,22,3,0,8504951.78,386588.717273,399261.51,7876.768,785665.111,0.0,1167015.34,ready
DARAJAT,explosive,well_tied,well_scope,2,2,0,141775.28,70887.64,70887.64,32318.536,109456.744,22676.26,119099.02,thin_sample
DARAJAT,explosive_handling_permitting,well_tied,well_scope,11,2,0,322592.79,29326.617273,29044.52,10541.25,41017.02,0.0,51925.49,ready
DARAJAT,fuel_lubricants,well_tied,well_scope,16,3,0,5990691.93,374418.245625,353286.745,230683.825,570841.485,0.0,587193.81,ready
DARAJAT,hardware_supply,campaign_tied,shared_support,2,2,0,25454.93,12727.465,12727.465,6585.285,18869.645,5049.74,20405.19,thin_sample
DARAJAT,hazardous_waste,campaign_tied,waste_support,2,2,0,92773.1,46386.55,46386.55,24261.206,68511.894,18729.87,74043.23,thin_sample
DARAJAT,heavy_equipment_for_drill_cutting,campaign_tied,waste_support,2,2,0,77221.24,38610.62,38610.62,25396.148,51825.092,22092.53,55128.71,thin_sample
DARAJAT,installation_hook_up_pre_commisioning,hybrid,tie_in_flag,3,3,0,4298881.38,1432960.46,908012.89,822786.426,2253113.522,801479.81,2589388.68,ready
DARAJAT,insurance,campaign_tied,shared_support,3,3,0,727056.04,242352.013333,232821.26,203426.676,285089.652,196078.03,298156.75,ready
DARAJAT,internet_and_it_support_service,campaign_tied,shared_support,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thin_sample
DARAJAT,ipal,campaign_tied,campaign_compliance,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thin_sample
DARAJAT,land_transportation,well_tied,well_scope,16,3,0,1477042.52,92315.1575,84877.73,45807.86,150613.155,0.0,225633.72,ready
DARAJAT,lih,campaign_tied,campaign_compliance,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thin_sample
DARAJAT,material,well_tied,well_scope,2,2,0,940542.67,470271.335,470271.335,383121.123,557421.547,361333.57,579209.1,thin_sample
DARAJAT,material_ll,hybrid,pad_expansion_flag,7,3,0,4106130.06,586590.008571,60098.57,0.0,1597171.516,0.0,3295100.56,ready
DARAJAT,material_non_ll,hybrid,pad_expansion_flag,7,3,0,2050862.93,292980.418571,114836.25,57080.632,629915.822,49110.91,683599.01,ready
DARAJAT,mud_chemical_and_engineering_service,well_tied,well_scope,15,3,0,7513359.76,500890.650667,401556.19,309160.954,773677.058,0.0,1445756.12,ready
DARAJAT,mud_logging_service,well_tied,well_scope,16,3,0,780452.75,48778.296875,43341.49,29270.5,78096.995,0.0,110100.0,ready
DARAJAT,ndt_inspection,well_tied,well_scope,11,2,0,373629.87,33966.351818,33042.43,14136.94,61439.88,0.0,62912.89,ready
DARAJAT,open_hole_electrical_logging_service,well_tied,well_scope,12,3,0,1159405.15,96617.095833,17909.49,0.0,237439.2,0.0,571655.2,ready
DARAJAT,other_transportation,well_tied,well_scope,11,2,0,118756.91,10796.082727,12170.25,0.0,18849.94,0.0,20360.22,ready
DARAJAT,others,well_tied,well_scope,6,1,0,1037617.94,172936.323333,182442.43,70972.835,265393.705,6141.57,326157.76,ready
DARAJAT,permitting,campaign_tied,campaign_compliance,1,1,0,156205.65,156205.65,156205.65,156205.65,156205.65,156205.65,156205.65,thin_sample
DARAJAT,pgpa,campaign_tied,campaign_compliance,3,3,0,718108.13,239369.376667,82973.05,42371.706,498925.578,32221.37,602913.71,ready
