field,group_key,classification,driver_family,sample_size,campaign_count,synthetic_rows_used,cost_total,cost_mean,cost_median,cost_p10,cost_p90,cost_min,cost_max,estimator_readiness
SALAK,api_non_api_machine_shop_service,well_tied,well_scope,8,1,0,137979.74,17247.4675,14320.335,4773.719,36557.251,1072.77,42179.35,ready
SALAK,asset_transfer,well_tied,well_scope,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ready
SALAK,bits_reamer_and_core_heads,well_tied,well_scope,12,2,0,1620154.0,135012.833333,118301.5,77870.7,226776.0,0.0,241956.0,ready
SALAK,casing,well_tied,well_scope,12,2,0,6451385.1,537615.425,454040.245,361401.192,941451.032,16239.59,1054232.96,ready
SALAK,casing_installation,well_tied,well_scope,12,2,0,676388.57,56365.714167,54249.715,47576.226,79857.091,0.0,91320.71,ready
SALAK,casing_repair_modif,well_tied,well_scope,8,1,0,117294.74,14661.8425,0.0,0.0,40500.706,0.0,45349.48,ready
SALAK,cement_cementing_pump_fees,well_tied,well_scope,12,2,0,5394103.21,449508.600833,445967.15,265102.694,674696.316,0.0,901112.84,ready
SALAK,construction,hybrid,pad_expansion_flag,4,2,0,1543190.66,385797.665,402977.645,30612.753,727238.593,0.0,737235.37,ready
SALAK,consumables,well_tied,well_scope,8,1,0,108813.71,13601.71375,10255.53,585.87,31279.257,576.42,43003.2,ready
SALAK,contingency,campaign_tied,shared_support,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thin_sample
SALAK,contract_rig,well_tied,well_scope,12,2,0,5145273.04,428772.753333,424774.37,20273.953,608472.889,0.0,1120266.73,ready
SALAK,coring,well_tied,well_scope,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ready
SALAK,directional_drilling_surveys,well_tied,well_scope,12,2,0,3413313.28,284442.773333,278089.01,170510.464,432007.327,0.0,539568.66,ready
SALAK,drill_cutting_transport_process,campaign_tied,waste_support,2,2,0,669465.12,334732.56,334732.56,303897.816,365567.304,296189.13,373275.99,thin_sample
SALAK,drilling_facilities_support,campaign_tied,shared_support,2,2,0,591151.41,295575.705,295575.705,151671.805,439479.605,115695.83,475455.58,thin_sample
SALAK,drilling_operation_water_support,campaign_tied,shared_support,1,1,0,320332.0,320332.0,320332.0,320332.0,320332.0,320332.0,320332.0,thin_sample
SALAK,drilling_rig_o_m,well_tied,well_scope,8,1,0,3415573.27,426946.65875,475731.005,153937.847,642953.111,0.0,658713.31,ready
SALAK,drilling_safety_health_environment,well_tied,well_scope,11,2,0,91172.12,8288.374545,8683.85,4450.16,10083.5,0.0,18622.03,ready
SALAK,engineering,hybrid,pad_expansion_flag,3,1,0,402769.9,134256.633333,67334.7,48201.236,247080.804,43417.87,292017.33,ready
SALAK,environment_permit,campaign_tied,campaign_compliance,1,1,0,5318.4,5318.4,5318.4,5318.4,5318.4,5318.4,5318.4,thin_sample
SALAK,equipment_rental,well_tied,well_scope,12,2,0,3312784.76,276065.396667,269387.675,17654.156,486012.063,0.0,569931.8,ready
SALAK,explosive,well_tied,well_scope,1,1,0,142754.25,142754.25,142754.25,142754.25,142754.25,142754.25,142754.25,thin_sample
SALAK,explosive_handling_permitting,well_tied,well_scope,8,1,0,56386.85,7048.35625,5847.535,4497.689,10845.298,3114.37,14521.32,ready
SALAK,fuel_lubricants,well_tied,well_scope,12,2,0,2323112.57,193592.714167,182150.445,91774.434,325603.976,0.0,467276.53,ready
SALAK,hardware_supply,campaign_tied,shared_support,1,1,0,4000.06,4000.06,4000.06,4000.06,4000.06,4000.06,4000.06,thin_sample
SALAK,hazardous_waste,campaign_tied,waste_support,2,2,0,15720.91,7860.455,7860.455,2333.491,13387.419,951.75,14769.16,thin_sample
SALAK,installation_hook_up_pre_commisioning,hybrid,tie_in_flag,2,2,0,1271679.0,635839.5,635839.5,429273.244,842405.756,377631.68,894047.32,thin_sample
SALAK,insurance,campaign_tied,shared_support,2,2,0,413322.78,206661.39,206661.39,146650.462,266672.318,131647.73,281675.05,thin_sample
SALAK,internet_and_it_support_service,campaign_tied,shared_support,2,2,0,5332.8,2666.4,2666.4,689.008,4643.792,194.66,5138.14,thin_sample
SALAK,land_transportation,well_tied,well_scope,12,2,0,998062.9,83171.908333,69215.87,17525.133,137352.803,479.69,211145.09,ready
SALAK,lih,campaign_tied,campaign_compliance,2,2,0,1531986.77,765993.385,765993.385,153198.677,1378788.093,0.0,1531986.77,thin_sample
SALAK,logging_cost,well_tied,well_scope,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thin_sample
SALAK,material,well_tied,well_scope,1,1,0,677988.38,677988.38,677988.38,677988.38,677988.38,677988.38,677988.38,thin_sample
SALAK,material_ll,hybrid,pad_expansion_flag,3,2,0,2130697.99,710232.663333,1051404.93,222941.858,1061054.562,15826.09,1063466.97,ready
SALAK,material_non_ll,hybrid,pad_expansion_flag,1,1,0,208699.68,208699.68,208699.68,208699.68,208699.68,208699.68,208699.68,thin_sample
SALAK,mud_chemical_and_engineering_service,well_tied,well_scope,12,2,0,3383255.87,281937.989167,278002.75,168599.719,407439.219,0.0,553955.47,ready
SALAK,mud_logging_service,well_tied,well_scope,12,2,0,381336.5,31778.041667,34971.0,13077.0,49230.0,0.0,53900.0,ready
SALAK,ndt_inspection,well_tied,well_scope,8,1,0,135090.0,16886.25,15485.32,8359.568,28792.747,0.0,32818.09,ready
SALAK,new_rig_pavement,hybrid,pad_expansion_flag,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thin_sample
SALAK,open_hole_electrical_logging_service,well_tied,well_scope,8,1,0,383000.0,47875.0,0.0,0.0,188340.0,0.0,199400.0,ready
SALAK,other,campaign_tied,shared_support,2,1,0,77352.0,38676.0,38676.0,10969.352,66382.648,4042.69,73309.31,thin_sample
SALAK,other_transportation,well_tied,well_scope,12,2,0,49305.05,4108.754167,0.0,0.0,13442.477,0.0,13875.08,ready
SALAK,others,campaign_tied,shared_support,1,1,0,143.34,143.34,143.34,143.34,143.34,143.34,143.34,thin_sample
SALAK,others,well_tied,well_scope,6,1,0,1125776.81,187629.468333,208110.06,47163.5,307614.845,20805.02,339463.67,ready
SALAK,pgpa,campaign_tied,campaign_compliance,1,1,0,113196.24,113196.24,113196.24,113196.24,113196.24,113196.24,113196.24,thin_sample
SALAK,pgpa_security,campaign_tied,campaign_compliance,1,1,0,106038.43,106038.43,106038.43,106038.43,106038.43,106038.43,106038.43,thin_sample
SALAK,project_management_cost,campaign_tied,shared_support,2,2,0,69578.65,34789.325,34789.325,17461.857,52116.793,13129.99,56448.66,thin_sample
SALAK,rig_inspection,well_tied,well_scope,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ready
SALAK,rig_mobilization,campaign_tied,campaign_logistics,2,2,0,4562375.13,2281187.565,2281187.565,2127914.433,2434460.697,2089596.15,2472778.98,thin_sample
SALAK,rig_move,hybrid,interpad_move_count,4,2,0,4246654.47,1061663.6175,907903.055,745479.827,1500855.858,709217.51,1721630.85,ready
