well_alias,well_canonical,campaign_code,campaign_id,estimator_scope,include_for_estimator,include_for_well_training,source_sheet,note,well_sequence_in_campaign,well_order_label,well_order_basis,well_order_note
14-1,DRJ-51,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
14-1,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
14-2,DRJ-52,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
14-2,DRJ-52,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
20-1,DRJ-50,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
20-1,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
AWI 16-08,AWI 16-8,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
AWI 16-08,AWI 16-8,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,General.Camp.Data,,,,,
AWI 16-08,AWI 16-8,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Structured.Cost,,,,,
AWI 16-09,AWI 16-9,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
AWI 16-09,AWI 16-9,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,General.Camp.Data,,,,,
AWI 16-09,AWI 16-9,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Structured.Cost,,,,,
AWI 16-8,AWI 16-8,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
AWI 16-8,AWI 16-8,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Drill.Depth.Days,,,,,
AWI 16-8,AWI 16-8,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,General.Camp.Data,,,,,
AWI 16-8,AWI 16-8,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Phase.Summary,,,,,
AWI 16-8,AWI 16-8,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Structured.Cost,,,,,
AWI 16-9,AWI 16-9,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
AWI 16-9,AWI 16-9,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Drill.Depth.Days,,,,,
AWI 16-9,AWI 16-9,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,General.Camp.Data,,,,,
AWI 16-9,AWI 16-9,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Phase.Summary,,,,,
AWI 16-9,AWI 16-9,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Structured.Cost,,,,,
AWI 2-6,AWI 2-6,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,DashBoard.Tab.Template,,7,well_7,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 2-6,AWI 2-6,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,Drill.Depth.Days,,7,well_7,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 2-6,AWI 2-6,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,General.Camp.Data,,7,well_7,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 2-6,AWI 2-6,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,Phase.Summary,,7,well_7,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 2-6,AWI 2-6,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,Structured.Cost,,7,well_7,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 2-7 ML,AWI 2-7 ML,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,DashBoard.Tab.Template,,6,well_6,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 2-7 ML,AWI 2-7 ML,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,Drill.Depth.Days,,6,well_6,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 2-7 ML,AWI 2-7 ML,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,General.Camp.Data,,6,well_6,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 2-7 ML,AWI 2-7 ML,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,Phase.Summary,,6,well_6,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 2-7 ML,AWI 2-7 ML,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,Structured.Cost,,6,well_6,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 21-05,AWI 21-5,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
AWI 21-05,AWI 21-5,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,General.Camp.Data,,,,,
AWI 21-05,AWI 21-5,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Structured.Cost,,,,,
AWI 21-06,AWI 21-6,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
AWI 21-06,AWI 21-6,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,General.Camp.Data,,,,,
AWI 21-06,AWI 21-6,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Structured.Cost,,,,,
