field,bucket_id,classification,interval_method,lower_bound_usd,upper_bound_usd,center_usd,source_count
DARAJAT,andalalin,campaign_tied,quantile_band_p10_p90,0.0,0.0,0.0,1
DARAJAT,api_non_api_machine_shop_service,well_tied,quantile_band_p10_p90,41026.32,78769.12,54349.72,11
DARAJAT,asset_transfer,well_tied,quantile_band_p10_p90,0.0,22400.72,6771.23,11
DARAJAT,bits_reamer_and_core_heads,well_tied,quantile_band_p10_p90,60128.0,263648.0,151482.5,11
DARAJAT,casing,well_tied,quantile_band_p10_p90,51344.18,889177.81,419472.97,11
DARAJAT,casing_installation,well_tied,quantile_band_p10_p90,34670.49,67979.2,53644.74,11
DARAJAT,casing_repair_modif,well_tied,quantile_band_p10_p90,0.0,106134.425,0.0,6
DARAJAT,cement_cementing_pump_fees,well_tied,quantile_band_p10_p90,415221.41,728386.4,476892.74,11
DARAJAT,construction,hybrid,quantile_band_p10_p90,0.0,340780.82,217964.53,11
DARAJAT,consumables,well_tied,quantile_band_p10_p90,7653.56,26370.44,19820.82,11
DARAJAT,contract_rig,well_tied,quantile_band_p10_p90,577880.0,1033044.74,838855.14,11
DARAJAT,coring,well_tied,quantile_band_p10_p90,0.0,0.0,0.0,11
DARAJAT,directional_drilling_surveys,well_tied,quantile_band_p10_p90,270682.54,432060.8,348618.99,11
DARAJAT,drill_cutting_transport_process,campaign_tied,quantile_band_p10_p90,432393.751,442088.079,437240.915,2
DARAJAT,drilling_facilities_support,campaign_tied,quantile_band_p10_p90,118930.23,180429.35,149679.79,2
DARAJAT,drilling_operation_water_support,campaign_tied,quantile_band_p10_p90,157385.302,358454.438,257919.87,2
DARAJAT,drilling_safety_health_environment,well_tied,quantile_band_p10_p90,0.0,15440.29,10285.62,11
DARAJAT,engineering,hybrid,quantile_band_p10_p90,0.0,15088.938,5974.82,14
DARAJAT,engineering,hybrid,quantile_band_p10_p90,6539.722,24407.422,10124.725,4
DARAJAT,environment_permit,campaign_tied,quantile_band_p10_p90,19000.203,19257.507,19128.855,2
DARAJAT,environmental_monitoring,campaign_tied,quantile_band_p10_p90,12106.064,19498.576,15802.32,2
DARAJAT,equipment_rental,well_tied,quantile_band_p10_p90,0.0,719093.366,318237.95,17
DARAJAT,explosive,well_tied,quantile_band_p10_p90,32318.536,109456.744,70887.64,2
DARAJAT,explosive_handling_permitting,well_tied,quantile_band_p10_p90,10541.25,41017.02,29044.52,11
DARAJAT,fuel_lubricants,well_tied,quantile_band_p10_p90,179613.75,560934.25,432977.03,11
DARAJAT,hardware_supply,campaign_tied,quantile_band_p10_p90,6585.285,18869.645,12727.465,2
DARAJAT,hazardous_waste,campaign_tied,quantile_band_p10_p90,8385.478,58341.054,18729.87,3
DARAJAT,heavy_equipment_for_drill_cutting,campaign_tied,quantile_band_p10_p90,25396.148,51825.092,38610.62,2
DARAJAT,installation_hook_up_pre_commisioning,hybrid,quantile_band_p10_p90,48444.039,389449.548,247144.295,4
DARAJAT,installation_hook_up_pre_commisioning,well_tied,quantile_band_p10_p90,100901.16,199486.336,183372.09,5
DARAJAT,insurance,well_tied,quantile_band_p10_p90,38587.23,59068.79,39911.33,11
DARAJAT,internet_and_it_support_service,campaign_tied,quantile_band_p10_p90,0.0,0.0,0.0,1
DARAJAT,ipal,campaign_tied,quantile_band_p10_p90,0.0,0.0,0.0,1
DARAJAT,land_transportation,well_tied,quantile_band_p10_p90,38209.46,93130.32,74275.07,11
DARAJAT,lih,campaign_tied,quantile_band_p10_p90,0.0,0.0,0.0,2
DARAJAT,material,well_tied,quantile_band_p10_p90,78736.529,104291.078,94156.225,10
DARAJAT,material_ll,hybrid,quantile_band_p10_p90,0.0,129147.592,0.0,14
DARAJAT,material_ll,hybrid,quantile_band_p10_p90,44812.26,92992.967,61203.345,4
DARAJAT,material_non_ll,hybrid,quantile_band_p10_p90,11339.749,208228.672,33391.955,14
DARAJAT,material_non_ll,hybrid,quantile_band_p10_p90,94764.957,211976.852,136433.89,4
DARAJAT,mud_chemical_and_engineering_service,well_tied,quantile_band_p10_p90,305156.59,637251.5,345656.38,11
DARAJAT,mud_logging_service,well_tied,quantile_band_p10_p90,29229.0,71350.0,48700.0,11
DARAJAT,ndt_inspection,well_tied,quantile_band_p10_p90,14136.94,61439.88,33042.43,11
DARAJAT,open_hole_electrical_logging_service,well_tied,quantile_band_p10_p90,0.0,249600.0,0.0,11
DARAJAT,other_transportation,well_tied,quantile_band_p10_p90,0.0,18849.94,12170.25,11
DARAJAT,permitting,campaign_tied,quantile_band_p10_p90,156205.65,156205.65,156205.65,1
DARAJAT,pgpa,campaign_tied,quantile_band_p10_p90,37296.538,77897.882,57597.21,2
DARAJAT,project_management_cost,campaign_tied,quantile_band_p10_p90,14086.9,14086.9,14086.9,1
DARAJAT,rig_inspection,well_tied,quantile_band_p10_p90,0.0,0.0,0.0,11
DARAJAT,rig_mobilization,campaign_tied,quantile_band_p10_p90,632893.381,2370900.036,1621268.195,4
DARAJAT,rig_move,hybrid,quantile_band_p10_p90,136178.454,694342.946,565608.62,7
DARAJAT,rig_skid,hybrid,quantile_band_p10_p90,110312.675,162817.755,136565.215,2
DARAJAT,security,campaign_tied,quantile_band_p10_p90,30132.769,37088.681,33610.725,2
DARAJAT,service,well_tied,quantile_band_p10_p90,108259.542,170283.654,156118.715,10
DARAJAT,service_lines_communication,well_tied,quantile_band_p10_p90,679.0,1500.0,1311.0,11
DARAJAT,supervision,well_tied,quantile_band_p10_p90,53151.03,100847.09,86100.33,11
DARAJAT,vehicle_inspection,well_tied,quantile_band_p10_p90,0.0,0.0,0.0,11
DARAJAT,welding_service,well_tied,quantile_band_p10_p90,7619.82,16524.2,11566.43,11
DARAJAT,well_equipment_surface,well_tied,quantile_band_p10_p90,20984.18,62892.748,52635.16,5
DARAJAT,well_testing,well_tied,quantile_band_p10_p90,72893.74,104669.83,82362.94,11
DARAJAT,wellsite_geologist_wsg,well_tied,quantile_band_p10_p90,11156.22,28870.46,17190.95,11
SALAK,api_non_api_machine_shop_service,well_tied,quantile_band_p10_p90,5302.426,35754.094,13606.35,9
SALAK,asset_transfer,well_tied,quantile_band_p10_p90,0.0,0.0,0.0,9
SALAK,bits_reamer_and_core_heads,well_tied,quantile_band_p10_p90,0.0,229812.0,129276.0,9
SALAK,casing,well_tied,quantile_band_p10_p90,13757.956,983207.712,575229.74,9
SALAK,casing_installation,well_tied,quantile_band_p10_p90,0.0,68651.856,48247.53,9
SALAK,casing_repair_modif,well_tied,quantile_band_p10_p90,0.0,39808.024,0.0,9
SALAK,cement_cementing_pump_fees,well_tied,quantile_band_p10_p90,0.0,582822.338,452778.44,9
SALAK,construction,hybrid,quantile_band_p10_p90,36370.812,224139.518,201768.03,5
SALAK,consumables,well_tied,quantile_band_p10_p90,587.22,30639.496,13955.48,9
SALAK,contingency,campaign_tied,quantile_band_p10_p90,0.0,0.0,0.0,1
SALAK,contract_rig,well_tied,quantile_band_p10_p90,0.0,561297.074,337932.78,9
SALAK,coring,well_tied,quantile_band_p10_p90,0.0,0.0,0.0,9
SALAK,directional_drilling_surveys,well_tied,quantile_band_p10_p90,13824.0,414494.132,280036.51,9
SALAK,drill_cutting_transport_process,campaign_tied,quantile_band_p10_p90,178253.223,195022.767,186637.995,2
SALAK,drilling_facilities_support,campaign_tied,quantile_band_p10_p90,475455.58,475455.58,475455.58,1
SALAK,drilling_operation_water_support,campaign_tied,quantile_band_p10_p90,320332.0,320332.0,320332.0,1
SALAK,drilling_rig_o_m,well_tied,quantile_band_p10_p90,0.0,640701.654,415673.72,9
SALAK,drilling_safety_health_environment,well_tied,quantile_band_p10_p90,0.0,9897.732,6928.95,9
SALAK,engineering,hybrid,quantile_band_p10_p90,11999.718,35815.822,18558.07,5
SALAK,engineering,hybrid,quantile_band_p10_p90,34058.906,84704.02,56572.15,5
SALAK,equipment_rental,well_tied,quantile_band_p10_p90,0.0,353559.24,251905.6,9
SALAK,explosive,well_tied,quantile_band_p10_p90,142754.25,142754.25,142754.25,1
SALAK,explosive_handling_permitting,well_tied,quantile_band_p10_p90,4116.874,10320.152,5235.62,9
SALAK,fuel_lubricants,well_tied,quantile_band_p10_p90,26293.248,301816.548,126062.42,9
SALAK,hardware_supply,campaign_tied,quantile_band_p10_p90,4000.06,4000.06,4000.06,1
SALAK,hazardous_waste,campaign_tied,quantile_band_p10_p90,951.75,951.75,951.75,1
SALAK,installation_hook_up_pre_commisioning,hybrid,quantile_band_p10_p90,15136.12,126376.16,95636.14,5
SALAK,insurance,well_tied,quantile_band_p10_p90,0.0,38688.57,14315.08,9
SALAK,internet_and_it_support_service,campaign_tied,quantile_band_p10_p90,5138.14,5138.14,5138.14,1
SALAK,land_transportation,well_tied,quantile_band_p10_p90,15786.048,152978.122,74352.56,9
SALAK,lih,campaign_tied,quantile_band_p10_p90,0.0,0.0,0.0,1
SALAK,logging_cost,well_tied,quantile_band_p10_p90,0.0,0.0,0.0,1
SALAK,material,well_tied,quantile_band_p10_p90,0.0,140822.224,67824.48,9
SALAK,material_ll,hybrid,quantile_band_p10_p90,139537.7,303996.67,176595.78,5
SALAK,material_non_ll,hybrid,quantile_band_p10_p90,3139.232,101473.686,16830.79,5
SALAK,mud_chemical_and_engineering_service,well_tied,quantile_band_p10_p90,0.0,346630.2,258317.0,9
SALAK,mud_logging_service,well_tied,quantile_band_p10_p90,0.0,50460.0,42637.5,9
SALAK,ndt_inspection,well_tied,quantile_band_p10_p90,0.032,28217.698,12977.87,9
SALAK,new_rig_pavement,hybrid,quantile_band_p10_p90,0.0,0.0,0.0,1
SALAK,open_hole_electrical_logging_service,well_tied,quantile_band_p10_p90,0.0,186760.0,0.0,9
SALAK,other_transportation,well_tied,quantile_band_p10_p90,0.0,0.0,0.0,9
SALAK,pgpa,campaign_tied,quantile_band_p10_p90,113196.24,113196.24,113196.24,1
SALAK,project_management_cost,campaign_tied,quantile_band_p10_p90,13129.99,13129.99,13129.99,1
SALAK,rig_inspection,well_tied,quantile_band_p10_p90,0.0,0.0,0.0,9
SALAK,rig_mobilization,campaign_tied,quantile_band_p10_p90,2472778.98,2472778.98,2472778.98,1
SALAK,rig_move,hybrid,quantile_band_p10_p90,0.0,606109.526,317506.03,8
SALAK,rig_skid,hybrid,quantile_band_p10_p90,0.0,82000.981,20751.965,8
SALAK,sampling_and_lab_analysis,campaign_tied,quantile_band_p10_p90,6855.03,6855.03,6855.03,1
SALAK,security,campaign_tied,quantile_band_p10_p90,23682.08,23682.08,23682.08,1
SALAK,service,well_tied,quantile_band_p10_p90,0.0,220772.98,188821.91,9
SALAK,service_lines_communication,well_tied,quantile_band_p10_p90,0.0,1146.0,825.0,9
SALAK,supervision,well_tied,quantile_band_p10_p90,0.0,66430.62,45711.43,9
SALAK,vehicle_inspection,well_tied,quantile_band_p10_p90,0.0,0.0,0.0,9
SALAK,welding_service,well_tied,quantile_band_p10_p90,0.0,0.0,0.0,9
SALAK,well_equipment_surface,well_tied,quantile_band_p10_p90,0.0,86087.568,71550.58,9
SALAK,well_testing,well_tied,quantile_band_p10_p90,0.0,84966.488,48443.99,9
SALAK,wellsite_geologist_wsg,well_tied,quantile_band_p10_p90,15126.186,17971.246,17171.07,9
