field,campaign_canonical,l2_id,l2_desc,actual_usd
DARAJAT,DARAJAT_2019,Drilling Cost,Drilling Cost,31603999.780000
DARAJAT,DARAJAT_2019,Support Cost,Support Cost,2320438.570000
DARAJAT,DARAJAT_2019,Surface Facilities Cost,Surface Facilities Cost,8078945.810000
DARAJAT,DARAJAT_2022,Drilling Cost,Drilling Cost,25030004.660000
DARAJAT,DARAJAT_2022,Support Cost,Support Cost,1945666.610000
DARAJAT,DARAJAT_2022,Surface Facilities Cost,Surface Facilities Cost,3693853.630000
DARAJAT,DARAJAT_2023_2024,Drilling Cost,Drilling Cost,29818205.970000
DARAJAT,DARAJAT_2023_2024,Support Cost,Support Cost,1943104.280000
DARAJAT,DARAJAT_2023_2024,Surface Facilities Cost,Surface Facilities Cost,5605799.390000
SALAK,SALAK_2021,Drilling Cost,Drilling Cost,22970471.930000
SALAK,SALAK_2021,Support Cost,Support Cost,1383701.070000
SALAK,SALAK_2021,Surface Facilities Cost,Surface Facilities Cost,3697074.740000
SALAK,SALAK_2025_2026,Contingency,Contingency,0.000000
SALAK,SALAK_2025_2026,Drilling Cost,Drilling Cost,31868376.550000
SALAK,SALAK_2025_2026,Support Cost,Support Cost,2032624.540000
SALAK,SALAK_2025_2026,Surface Facilities Cost,Surface Facilities Cost,4621324.480000
