field,campaign_canonical,l2_id,l3_id,l3_desc,actual_usd
DARAJAT,DARAJAT_2022,E530-30101-D225301,E530-3010101-D225301,E530-3010101-D225301,4198483.240000
DARAJAT,DARAJAT_2022,E530-30101-D225301,E530-3010102-D225301,E530-3010102-D225301,3507245.670000
DARAJAT,DARAJAT_2022,E530-30101-D225301,E530-3010103-D225301,E530-3010103-D225301,4066803.200000
DARAJAT,DARAJAT_2022,E530-30101-D225301,E530-3010104-D225301,E530-3010104-D225301,4782876.200000
DARAJAT,DARAJAT_2022,E530-30101-D225301,E530-3010105-D225301,E530-3010105-D225301,3912215.740000
DARAJAT,DARAJAT_2022,E530-30101-D225301,E530-3010156-D225301,E530-3010156-D225301,1615754.880000
DARAJAT,DARAJAT_2022,E530-30101-D225301,E530-3010161-D225301,E530-3010161-D225301,169380.890000
DARAJAT,DARAJAT_2022,E530-30101-D225301,E530-3010169-D225301,E530-3010169-D225301,2658145.820000
DARAJAT,DARAJAT_2022,E530-30101-D225301,E530-3010172-D225301,E530-3010172-D225301,0.000000
DARAJAT,DARAJAT_2022,E530-30101-D225301,E530-3010173-D225301,E530-3010173-D225301,119099.020000
DARAJAT,DARAJAT_2022,E530-30129-D225301,E530-3012914-D225301,E530-3012914-D225301,111242.840000
DARAJAT,DARAJAT_2022,E530-30129-D225301,E530-3012975-D225301,E530-3012975-D225301,397045.520000
DARAJAT,DARAJAT_2022,E530-30129-D225301,E530-3012976-D225301,E530-3012976-D225301,84508.190000
DARAJAT,DARAJAT_2022,E530-30129-D225301,E530-3012977-D225301,E530-3012977-D225301,590503.940000
DARAJAT,DARAJAT_2022,E530-30129-D225301,E530-3012978-D225301,E530-3012978-D225301,61484.650000
DARAJAT,DARAJAT_2022,E530-30129-D225301,E530-3012979-D225301,E530-3012979-D225301,298156.750000
DARAJAT,DARAJAT_2022,E530-30129-D225301,E530-3012980-D225301,E530-3012980-D225301,14086.900000
DARAJAT,DARAJAT_2022,E530-30129-D225301,E530-3012981-D225301,E530-3012981-D225301,383588.080000
DARAJAT,DARAJAT_2022,E530-30129-D225301,E530-3012982-D225301,E530-3012982-D225301,5049.740000
DARAJAT,DARAJAT_2022,E530-30203-D225301,E530-3020374-D225301,E530-3020374-D225301,971462.530000
DARAJAT,DARAJAT_2022,E530-30203-D225301,E530-3020383-D225301,E530-3020383-D225301,255289.960000
DARAJAT,DARAJAT_2022,E530-30203-D225301,E530-3020384-D225301,E530-3020384-D225301,372415.080000
DARAJAT,DARAJAT_2022,E530-30203-D225301,E530-3020385-D225301,E530-3020385-D225301,230528.310000
DARAJAT,DARAJAT_2022,E530-30203-D225301,E530-3020386-D225301,E530-3020386-D225301,327174.010000
DARAJAT,DARAJAT_2022,E530-30203-D225301,E530-3020387-D225301,E530-3020387-D225301,681773.880000
DARAJAT,DARAJAT_2022,E530-30203-D225301,E530-3020388-D225301,E530-3020388-D225301,336668.270000
DARAJAT,DARAJAT_2022,E530-30203-D225301,E530-3020389-D225301,E530-3020389-D225301,518541.590000
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,E530-3010101-D235301,E530-3010101-D235301,0.000000
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,E530-3010102-D235301,E530-3010102-D235301,5189554.630000
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,E530-3010103-D235301,E530-3010103-D235301,4359943.090000
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,E530-3010104-D235301,E530-3010104-D235301,6925978.210000
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,E530-3010105-D235301,E530-3010105-D235301,4562998.050000
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,E530-3010106-D235301,E530-3010106-D235301,3609573.610000
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,E530-3010156-D235301,E530-3010156-D235301,1557867.010000
