field,l3_category,description,budget_usd,actual_usd,pct_spent,variance_usd,allocation_scope,source_file,source_sheet,source_row,source_row_id
SALAK,3010109,Well Cost AWI 9-10RD,3784504,45127.74,1.1924347285668081E-2,3739376.26,well,20260327_WBS_Data.xlsx,Dashboard_x,20,bbb18188a9a090f2
SALAK,3010108,Well Cost AWI 23-2,6399559,4325740.79,0.6759435751744769,2073818.21,well,20260327_WBS_Data.xlsx,Dashboard_x,21,3e549c6ee75b5678
SALAK,3010107,Well Cost AWI 21-8,4064503,3187325.84,0.78418587463215061,877177.16000000015,well,20260327_WBS_Data.xlsx,Dashboard_x,22,d4b2cd39d6513b19
SALAK,3010106,Well Cost AWI 3-9,9199249.629999999,7279427.7999999998,0.7913066926959782,1919821.8299999991,well,20260327_WBS_Data.xlsx,Dashboard_x,23,39e110efe86e5df5
SALAK,3010105,Well Cost 9-11,15444713.800000001,8586515.0999999996,0.55595171339465022,6858198.7000000011,well,20260327_WBS_Data.xlsx,Dashboard_x,24,a39f011ccbd58a3d
SALAK,3010104,Well Cost 23-1,18477483.829999998,16588794.800000001,0.89778429534147253,1888689.0299999975,well,20260327_WBS_Data.xlsx,Dashboard_x,25,f6245c339c9fff04
SALAK,3010103,Well Cost AWI 21-7,13571858.57,11610551.039999999,0.85548718181197481,1961307.5300000012,well,20260327_WBS_Data.xlsx,Dashboard_x,26,6f1993914a8c70f6
SALAK,3010102,Well Cost AWI 2-7 ML,15817259.26,13417521.82,0.84828361218882875,2399737.4399999995,well,20260327_WBS_Data.xlsx,Dashboard_x,27,343fa96f01781603
SALAK,3010101,Well Cost AWI 2-6,8573851.2699999996,6527932.0999999996,0.76137687655503261,2045919.17,well,20260327_WBS_Data.xlsx,Dashboard_x,28,e465c9392af81988
SALAK,3012975,Well Testing,1913451.27,1309019.42,0.68411432291139551,604431.85000000009,category,20260327_WBS_Data.xlsx,Dashboard_x,29,fab1b30dc55b3bf4
SALAK,3012976,Wellsite Geologist,536238,342775.45,0.63922260265031572,193462.55,category,20260327_WBS_Data.xlsx,Dashboard_x,30,fce658c5e6a2aa55
SALAK,3012977,SHE,2166022.7999999998,1495421.29,0.69039960705861458,670601.50999999978,category,20260327_WBS_Data.xlsx,Dashboard_x,31,e6315f931ff6d7af
SALAK,3012979,Well Insurance,1060339.56,625882.51,0.59026611248947458,434457.05000000005,category,20260327_WBS_Data.xlsx,Dashboard_x,32,9df4ffab20f74333
SALAK,3020374,Conductor Casing,5975750.4100000001,4204888.63,0.70365867740450017,1770861.7800000003,category,20260327_WBS_Data.xlsx,Dashboard_x,33,b72076e1d76d460b
