classification_key,source_row_id,field,campaign_raw,campaign_canonical,campaign_start_year,campaign_code,well_raw,well_canonical,mapping_method,mapping_confidence,mapping_source,exclude_from_estimator_pool,pool_exclusion_reason,l0_id,l0_desc,l1_id,l1_desc,l2_id,l2_desc,l3_id,l3_desc,l4_id,l4_desc,l5_id,l5_desc,wbs_family_tag,family_group_key,classification,driver_family,budget_usd,release_usd,released_usd,committed_usd,actual_usd,source_sheet,source_workbook,source_field_campaign_year
DARAJAT|Drilling Cost|Rig Mobilization|Rig Mobilization|Rig Mobilization,274032449f2fdd0a,DARAJAT,DRJ - 2019,DARAJAT_2019,2019,E530-30101-D19001,GENERAL,,none,low,wbs_lv5_master,no,,DRJ ,ROOT,DRJ - 2019,DRJ - 2019,Drilling Cost,Drilling Cost,Rig Mobilization,Rig Mobilization,Rig Mobilization,Rig Mobilization,Rig Mobilization,Rig Mobilization,Rig Mobilization,rig_mobilization,campaign_tied,campaign_logistics,0,0,0,0,3136274.380000,Structured.Cost,20260422_Data for Dashboard.xlsx,DARAJAT_2019
DARAJAT|Drilling Cost|Rig Move|Interpad Move|Rig Move,046fdf644c9034b9,DARAJAT,DRJ - 2019,DARAJAT_2019,2019,E530-30101-D19001,GENERAL,,none,low,wbs_lv5_master,no,,DRJ ,ROOT,DRJ - 2019,DRJ - 2019,Drilling Cost,Drilling Cost,Rig Move,Rig Move,Interpad Move,Interpad Move,Rig Move,Rig Move,Rig Move,rig_move,hybrid,interpad_move_count,0,0,0,0,1337803.550000,Structured.Cost,20260422_Data for Dashboard.xlsx,DARAJAT_2019
DARAJAT|Drilling Cost|Well Cost|Material - LL|Casing,b92d710f0ba24dbf,DARAJAT,DRJ - 2019,DARAJAT_2019,2019,E530-30101-D19001,DRJ-44OH,DRJ-44,campaign_alias_match,high,wbs_lv5_master,no,,DRJ ,ROOT,DRJ - 2019,DRJ - 2019,Drilling Cost,Drilling Cost,Well Cost,Well Cost,Material - LL,Material - LL,Casing,Casing,Casing,casing,well_tied,well_scope,0,0,0,0,367853.720000,Structured.Cost,20260422_Data for Dashboard.xlsx,DARAJAT_2019
DARAJAT|Drilling Cost|Well Cost|Material - LL|Casing,1ca4914fb1fbdb73,DARAJAT,DRJ - 2019,DARAJAT_2019,2019,E530-30101-D19001,DRJ-45OH,DRJ-45,campaign_alias_match,high,wbs_lv5_master,no,,DRJ ,ROOT,DRJ - 2019,DRJ - 2019,Drilling Cost,Drilling Cost,Well Cost,Well Cost,Material - LL,Material - LL,Casing,Casing,Casing,casing,well_tied,well_scope,0,0,0,0,571988.400000,Structured.Cost,20260422_Data for Dashboard.xlsx,DARAJAT_2019
DARAJAT|Drilling Cost|Well Cost|Material - LL|Casing,b7e2472b5051c51d,DARAJAT,DRJ - 2019,DARAJAT_2019,2019,E530-30101-D19001,DRJ-46OH,DRJ-46,campaign_alias_match,high,wbs_lv5_master,no,,DRJ ,ROOT,DRJ - 2019,DRJ - 2019,Drilling Cost,Drilling Cost,Well Cost,Well Cost,Material - LL,Material - LL,Casing,Casing,Casing,casing,well_tied,well_scope,0,0,0,0,532507.520000,Structured.Cost,20260422_Data for Dashboard.xlsx,DARAJAT_2019
DARAJAT|Drilling Cost|Well Cost|Material - LL|Casing,9615d635fd0e3dc5,DARAJAT,DRJ - 2019,DARAJAT_2019,2019,E530-30101-D19001,DRJ-47OH,DRJ-47,campaign_alias_match,high,wbs_lv5_master,no,,DRJ ,ROOT,DRJ - 2019,DRJ - 2019,Drilling Cost,Drilling Cost,Well Cost,Well Cost,Material - LL,Material - LL,Casing,Casing,Casing,casing,well_tied,well_scope,0,0,0,0,454605.790000,Structured.Cost,20260422_Data for Dashboard.xlsx,DARAJAT_2019
DARAJAT|Drilling Cost|Well Cost|Material - LL|Casing,476b995f89890eac,DARAJAT,DRJ - 2019,DARAJAT_2019,2019,E530-30101-D19001,DRJ-48,DRJ-48,campaign_alias_match,high,wbs_lv5_master,no,,DRJ ,ROOT,DRJ - 2019,DRJ - 2019,Drilling Cost,Drilling Cost,Well Cost,Well Cost,Material - LL,Material - LL,Casing,Casing,Casing,casing,well_tied,well_scope,0,0,0,0,359868.910000,Structured.Cost,20260422_Data for Dashboard.xlsx,DARAJAT_2019
DARAJAT|Drilling Cost|Well Cost|Material - LL|Equipment Rental,706dc193fbd95ac6,DARAJAT,DRJ - 2019,DARAJAT_2019,2019,E530-30101-D19001,DRJ-44OH,DRJ-44,campaign_alias_match,high,wbs_lv5_master,no,,DRJ ,ROOT,DRJ - 2019,DRJ - 2019,Drilling Cost,Drilling Cost,Well Cost,Well Cost,Material - LL,Material - LL,Equipment Rental,Equipment Rental,Equipment Rental,equipment_rental,well_tied,well_scope,0,0,0,0,370208.790000,Structured.Cost,20260422_Data for Dashboard.xlsx,DARAJAT_2019
DARAJAT|Drilling Cost|Well Cost|Material - LL|Equipment Rental,fc8a21a182f087ab,DARAJAT,DRJ - 2019,DARAJAT_2019,2019,E530-30101-D19001,DRJ-45OH,DRJ-45,campaign_alias_match,high,wbs_lv5_master,no,,DRJ ,ROOT,DRJ - 2019,DRJ - 2019,Drilling Cost,Drilling Cost,Well Cost,Well Cost,Material - LL,Material - LL,Equipment Rental,Equipment Rental,Equipment Rental,equipment_rental,well_tied,well_scope,0,0,0,0,862920.210000,Structured.Cost,20260422_Data for Dashboard.xlsx,DARAJAT_2019
DARAJAT|Drilling Cost|Well Cost|Material - LL|Equipment Rental,a531c6b26d609d8e,DARAJAT,DRJ - 2019,DARAJAT_2019,2019,E530-30101-D19001,DRJ-46OH,DRJ-46,campaign_alias_match,high,wbs_lv5_master,no,,DRJ ,ROOT,DRJ - 2019,DRJ - 2019,Drilling Cost,Drilling Cost,Well Cost,Well Cost,Material - LL,Material - LL,Equipment Rental,Equipment Rental,Equipment Rental,equipment_rental,well_tied,well_scope,0,0,0,0,567110.310000,Structured.Cost,20260422_Data for Dashboard.xlsx,DARAJAT_2019
