field,group_level,event_major_category,event_detail,event_count,distinct_well_count,total_npt_days,share_of_field_npt_days,avg_event_duration_days,median_impacted_well_npt_days,category_to_total_npt_pearson,category_to_total_npt_r2,support_status
DARAJAT,major_category,WO,,12,5,14.374997,20.928542,1.197916,0.979166,0.775868,0.601971,supported
DARAJAT,major_category,SP,,8,4,12.770822,18.593025,1.596353,2.697916,0.483744,0.234008,supported
DARAJAT,major_category,EQP,,28,7,10.052094,14.634832,0.359003,1.000000,0.467528,0.218583,supported
DARAJAT,major_category,SPWS,,2,1,9.250000,13.467065,4.625000,9.250000,0.279920,0.078355,supported
DARAJAT,major_category,RREQ,,66,13,8.259719,12.025316,0.125147,0.437500,0.127978,0.016378,supported
DARAJAT,major_category,WP,,25,9,7.156236,10.418756,0.286249,0.520833,0.733864,0.538556,supported
DARAJAT,major_category,EQPS,,23,10,5.635414,8.204593,0.245018,0.302083,0.327983,0.107573,supported
DARAJAT,major_category,WC,,6,3,0.624306,0.908926,0.104051,0.260417,-0.227788,0.051887,supported
DARAJAT,major_category,PR,,3,2,0.135417,0.197153,0.045139,0.067709,0.677609,0.459154,supported
DARAJAT,major_category,RRBOP,,2,2,0.135417,0.197153,0.067709,0.067709,-0.146199,0.021374,supported
DARAJAT,major_category,SW,,2,1,0.104167,0.151657,0.052084,0.104167,0.517869,0.268188,supported
DARAJAT,major_category,SCL,,1,1,0.083333,0.121324,0.083333,0.083333,0.517869,0.268188,supported
DARAJAT,major_category,EQRCH,,1,1,0.062500,0.090994,0.062500,0.062500,-0.145438,0.021152,supported
DARAJAT,major_category,MAINTENANCE,,1,1,0.041667,0.060663,0.041667,0.041667,0.279920,0.078355,supported
DARAJAT,detail,SP,STUCK,3,2,11.500001,16.742839,3.833334,5.750001,0.494092,0.244127,supported
DARAJAT,detail,WO,ORDERS,1,1,10.000000,14.558989,10.000000,10.000000,0.689124,0.474891,supported
DARAJAT,detail,SPWS,HOLE CLEAN,1,1,6.916667,10.069968,6.916667,6.916667,0.279920,0.078355,supported
DARAJAT,detail,RREQ,TOP DRIVE,47,12,5.280530,7.687918,0.112352,0.218739,0.228824,0.052360,supported
DARAJAT,detail,EQP,BHA,9,5,4.875011,7.097523,0.541668,0.385417,0.249709,0.062355,supported
DARAJAT,detail,WP,TIGHT HOLE,19,7,4.197892,6.111706,0.220942,0.333333,0.677623,0.459173,supported
DARAJAT,detail,EQPS,EQPS,4,1,2.437499,3.548752,0.609375,2.437499,-0.095903,0.009197,supported
DARAJAT,detail,SPWS,STABILITY,1,1,2.333333,3.397097,2.333333,2.333333,0.279920,0.078355,supported
DARAJAT,detail,WO,PERSONNEL,1,1,1.895833,2.760141,1.895833,1.895833,0.517869,0.268188,supported
DARAJAT,detail,EQP,BIT,6,2,1.697917,2.471995,0.282986,0.848958,0.610785,0.373058,supported
DARAJAT,detail,WP,CMT JOB,2,2,1.458345,2.123203,0.729173,0.729173,0.595179,0.354238,supported
DARAJAT,detail,EQPS,CIRSYS,8,5,1.354166,1.971529,0.169271,0.270833,0.112922,0.012751,supported
DARAJAT,detail,WP,FRM INSTAB,1,1,1.333333,1.941198,1.333333,1.333333,-0.144361,0.020840,supported
DARAJAT,detail,RREQ,,1,1,1.312500,1.910867,1.312500,1.312500,-0.114748,0.013167,supported
DARAJAT,detail,SP,HOLE CLEAN,5,3,1.270821,1.850187,0.254164,0.208333,-0.061246,0.003751,supported
DARAJAT,detail,RREQ,DW HOIST,7,6,1.260416,1.835038,0.180059,0.119791,-0.058078,0.003373,supported
DARAJAT,detail,EQPS,CRANE,2,1,1.166666,1.698548,0.583333,1.166666,0.689124,0.474891,supported
DARAJAT,detail,WO,WATER,3,2,1.124999,1.637885,0.375000,0.562499,-0.150817,0.022746,supported
DARAJAT,detail,EQP,SC,1,1,1.041667,1.516562,1.041667,1.041667,0.029551,0.000873,supported
DARAJAT,detail,EQP,WHPSTK,1,1,1.020833,1.486230,1.020833,1.020833,0.517869,0.268188,supported
DARAJAT,detail,EQP,LOG TOOL,2,2,0.750000,1.091924,0.375000,0.375000,0.035389,0.001252,supported
DARAJAT,detail,WO,SUPPLIES,1,1,0.562500,0.818943,0.562500,0.562500,0.063472,0.004029,supported
DARAJAT,detail,WO,TRANSPORT,2,2,0.458333,0.667287,0.229166,0.229166,0.682663,0.466029,supported
