field,campaign_canonical,well_canonical,well_base_canonical,analysis_well_key,event_major_category,event_detail,event_duration_days,mapping_status,coverage_status,confidence,exclude_from_estimator_pool
SALAK,,AWI 10-4,AWI 10-4,SALAK|AWI 10-4,WO,PERSONNEL,0.083333,field_inferred_from_name_prefix,field_available,low,no
SALAK,,AWI 10-4,AWI 10-4,SALAK|AWI 10-4,WO,HES,2.041667,field_inferred_from_name_prefix,field_available,low,no
SALAK,,AWI 10-4,AWI 10-4,SALAK|AWI 10-4,WO,REG PERMIT,11.416667,field_inferred_from_name_prefix,field_available,low,no
SALAK,,AWI 10-4,AWI 10-4,SALAK|AWI 10-4,FSH,FSH ALL OH,5.125000,field_inferred_from_name_prefix,field_available,low,no
SALAK,,AWI 10-4,AWI 10-4,SALAK|AWI 10-4,EQPS,CIRSYS,0.041667,field_inferred_from_name_prefix,field_available,low,no
SALAK,,AWI 10-4,AWI 10-4,SALAK|AWI 10-4,RREQ,CIRSYS,0.208333,field_inferred_from_name_prefix,field_available,low,no
SALAK,,AWI 10-4,AWI 10-4,SALAK|AWI 10-4,WO,SUPPLIES,0.270833,field_inferred_from_name_prefix,field_available,low,no
SALAK,,AWI 10-4,AWI 10-4,SALAK|AWI 10-4,EQP,CSG LN,0.083333,field_inferred_from_name_prefix,field_available,low,no
SALAK,,AWI 10-4,AWI 10-4,SALAK|AWI 10-4,RREQ,TOP DRIVE,0.083333,field_inferred_from_name_prefix,field_available,low,no
SALAK,SALAK_2021,AWI 16-8,AWI 16-8,SALAK_2021|AWI 16-8,RREQ,TOP DRIVE,0.114583,source_full,field_campaign_available,high,no
SALAK,SALAK_2021,AWI 16-8,AWI 16-8,SALAK_2021|AWI 16-8,RREQ,TOP DRIVE,0.187500,source_full,field_campaign_available,high,no
SALAK,SALAK_2021,AWI 16-8,AWI 16-8,SALAK_2021|AWI 16-8,RREQ,TOP DRIVE,0.104167,source_full,field_campaign_available,high,no
SALAK,SALAK_2021,AWI 16-8,AWI 16-8,SALAK_2021|AWI 16-8,EQP,BHA,0.083333,source_full,field_campaign_available,high,no
SALAK,SALAK_2021,AWI 16-8,AWI 16-8,SALAK_2021|AWI 16-8,RREQ,PIPE HANDL,0.020833,source_full,field_campaign_available,high,no
SALAK,SALAK_2021,AWI 16-8,AWI 16-8,SALAK_2021|AWI 16-8,RREQ,TOP DRIVE,0.031250,source_full,field_campaign_available,high,no
SALAK,SALAK_2021,AWI 16-8,AWI 16-8,SALAK_2021|AWI 16-8,RREQ,CIRSYS,0.020833,source_full,field_campaign_available,high,no
SALAK,SALAK_2025_2026,AWI 2-6,AWI 2-6,SALAK_2025_2026|AWI 2-6,EQPS,CIRSYS,0.458333,source_full,field_campaign_available,high,no
SALAK,SALAK_2025_2026,AWI 2-6,AWI 2-6,SALAK_2025_2026|AWI 2-6,EQPS,CIRSYS,0.229167,source_full,field_campaign_available,high,no
SALAK,SALAK_2025_2026,AWI 2-7 ML,AWI 2-7,SALAK_2025_2026|AWI 2-7,RREQ,COMPTR,0.041667,source_full,field_campaign_available,high,no
SALAK,SALAK_2025_2026,AWI 2-7 ML,AWI 2-7,SALAK_2025_2026|AWI 2-7,RREQ,PIPE HANDL,0.062500,source_full,field_campaign_available,high,no
SALAK,SALAK_2025_2026,AWI 2-7 ML,AWI 2-7,SALAK_2025_2026|AWI 2-7,EQPS,CIRSYS,2.395833,source_full,field_campaign_available,high,no
SALAK,SALAK_2025_2026,AWI 2-7 ML,AWI 2-7,SALAK_2025_2026|AWI 2-7,RREQ,DW HOIST,0.041667,source_full,field_campaign_available,high,no
SALAK,SALAK_2025_2026,AWI 2-7 ML,AWI 2-7,SALAK_2025_2026|AWI 2-7,SW,TOOL FAIL,0.041667,source_full,field_campaign_available,high,no
SALAK,SALAK_2025_2026,AWI 2-7 ML,AWI 2-7,SALAK_2025_2026|AWI 2-7,WC,KICK,0.062500,source_full,field_campaign_available,high,no
SALAK,SALAK_2025_2026,AWI 2-7 ML,AWI 2-7,SALAK_2025_2026|AWI 2-7,RREQ,PIPE HANDL,0.020833,source_full,field_campaign_available,high,no
