field,rank_in_field,event_major_category,top_event_detail,support_status,total_npt_days,share_of_field_npt_days,impacted_well_count,median_impacted_well_npt_days,p90_impacted_well_npt_days,active_day_rate_median_usd_per_day,median_direct_well_cost_usd,penalty_cost_p50_usd,penalty_cost_p90_usd,penalty_pct_of_median_direct_well_cost,category_to_total_npt_r2
DARAJAT,1,WO,ORDERS,supported,14.374997,19.228449,5,0.979166,7.083333,125194.778982,4562998.050000,122586.470957,886796.284352,2.686533,0.532040
DARAJAT,2,SP,STUCK,supported,12.770822,17.082654,4,2.697916,6.420834,125194.778982,4562998.050000,337765.059929,803854.868471,7.402262,0.345079
DARAJAT,3,EQP,BHA,supported,11.895844,15.912255,7,1.250000,3.316673,125194.778982,4562998.050000,156493.473728,415230.193268,3.429620,0.269687
DARAJAT,4,SPWS,HOLE CLEAN,supported,9.250000,12.373091,1,9.250000,9.250000,125194.778982,4562998.050000,1158051.705583,1158051.705583,25.379185,0.060284
DARAJAT,5,RREQ,TOP DRIVE,supported,8.301386,11.104195,13,0.437500,1.547361,125194.778982,4562998.050000,54772.715805,193721.468322,1.200367,0.006403
DARAJAT,6,WP,TIGHT HOLE,supported,7.156236,9.572407,9,0.520833,1.824997,125194.778982,4562998.050000,65205.572322,228480.121097,1.429007,0.420385
DARAJAT,7,EQPS,EQPS,supported,5.635414,7.538107,10,0.302083,1.649999,125194.778982,4562998.050000,37819.214419,206571.260126,0.828824,0.073479
DARAJAT,8,FISH,FISH ALL CH,supported,4.187500,5.601332,1,4.187500,4.187500,125194.778982,4562998.050000,524253.136987,524253.136987,11.489226,0.113873
DARAJAT,9,WC,WC,supported,0.624306,0.835091,3,0.260417,0.302083,125194.778982,4562998.050000,32602.848758,37819.264497,0.714505,0.059713
DARAJAT,10,PR,FL CONDT,supported,0.135417,0.181138,2,0.067709,0.113542,125194.778982,4562998.050000,8476.750693,14214.828037,0.185772,0.383237
DARAJAT,11,RRBOP,SURF,supported,0.135417,0.181138,2,0.067709,0.113542,125194.778982,4562998.050000,8476.750693,14214.828037,0.185772,0.024961
DARAJAT,12,SW,STUCK,supported,0.104167,0.139337,1,0.104167,0.104167,125194.778982,4562998.050000,13041.164542,13041.164542,0.285803,0.220873
DARAJAT,13,SCL,STUCK,supported,0.083333,0.111469,1,0.083333,0.083333,125194.778982,4562998.050000,10432.856517,10432.856517,0.228640,0.220873
DARAJAT,14,EQRCH,ADA RCH,supported,0.062500,0.083602,1,0.062500,0.062500,125194.778982,4562998.050000,7824.673686,7824.673686,0.171481,0.024239
DARAJAT,15,MAINTENANCE,SLIP AND CUT DRL LINE,supported,0.041667,0.055735,1,0.041667,0.041667,125194.778982,4562998.050000,5216.490856,5216.490856,0.114322,0.060284
SALAK,1,WO,REG PERMIT,supported,15.218752,53.127280,4,0.682292,10.056250,154338.410605,3187325.840000,105303.940018,1552065.703382,3.303834,0.985539
SALAK,2,FSH,FSH ALL OH,supported,5.125000,17.890909,1,5.125000,5.125000,154338.410605,3187325.840000,790984.354351,790984.354351,24.816551,0.980228
SALAK,3,EQPS,CIRSYS,supported,4.270833,14.909090,8,0.291666,1.200000,154338.410605,3187325.840000,45015.266868,185206.077292,1.412321,0.003956
SALAK,4,RREQ,TOP DRIVE,supported,2.645831,9.236356,10,0.286457,0.432291,154338.410605,3187325.840000,44211.395256,66719.152160,1.387100,0.003035
SALAK,5,WP,JUNK,supported,0.791667,2.763638,1,0.791667,0.791667,154338.410605,3187325.840000,122184.626508,122184.626508,3.833453,0.000547
SALAK,6,WC,KICK,supported,0.333334,1.163639,3,0.125000,0.141667,154338.410605,3187325.840000,19292.301326,21864.690483,0.605282,0.023928
SALAK,7,EQP,CSG LN,supported,0.197916,0.690907,4,0.052083,0.083333,154338.410605,3187325.840000,8038.407440,12861.482771,0.252199,0.394743
SALAK,8,SW,TOOL FAIL,supported,0.041667,0.145456,1,0.041667,0.041667,154338.410605,3187325.840000,6430.818555,6430.818555,0.201762,0.000014
SALAK,9,PR,ERROR,supported,0.020833,0.072726,1,0.020833,0.020833,154338.410605,3187325.840000,3215.332108,3215.332108,0.100879,0.012420
WAYANG_WINDU,1,SP,STUCK,supported,29.916666,57.670683,3,6.041666,18.758333,120075.650703,4029036.510000,725456.976280,2252419.065094,18.005719,0.984472
WAYANG_WINDU,2,RREQ,TOP DRIVE,supported,6.354167,12.248997,9,0.375000,1.637500,120075.650703,4029036.510000,45028.369014,196623.854011,1.117596,0.105445
WAYANG_WINDU,3,WP,TIGHT HOLE,supported,6.062500,11.686747,4,0.218750,4.014583,120075.650703,4029036.510000,26266.548591,482053.690041,0.651931,0.931409
WAYANG_WINDU,4,SCL,GEOMETRY,supported,2.083333,4.016064,2,1.041667,1.775000,120075.650703,4029036.510000,125078.782803,213134.243975,3.104434,0.007113
WAYANG_WINDU,5,EQP,CSG LN,supported,1.729168,3.333336,5,0.104167,0.808333,120075.650703,4029036.510000,12507.920307,97061.158990,0.310444,0.010197
WAYANG_WINDU,6,WO,HES,supported,1.510416,2.911645,4,0.296874,0.726042,120075.650703,4029036.510000,35647.398765,87179.929565,0.884762,0.004522
WAYANG_WINDU,7,SW,STUCK,supported,1.333333,2.570281,1,1.333333,1.333333,120075.650703,4029036.510000,160100.827579,160100.827579,3.973675,0.932685
WAYANG_WINDU,8,EQPS,CSG HAN,supported,1.208332,2.329315,5,0.291666,0.385416,120075.650703,4029036.510000,35021.984738,46279.125022,0.869240,0.002506
WAYANG_WINDU,9,FISH,FISH ALL OH,supported,0.843750,1.626506,1,0.843750,0.843750,120075.650703,4029036.510000,101313.830281,101313.830281,2.514592,0.001467
WAYANG_WINDU,10,PR,PROC,supported,0.458333,0.883534,1,0.458333,0.458333,120075.650703,4029036.510000,55034.633214,55034.633214,1.365950,0.932685
WAYANG_WINDU,11,WC,STEAM,supported,0.218750,0.421687,2,0.109375,0.121875,120075.650703,4029036.510000,13133.274296,14634.219929,0.325966,0.199213
WAYANG_WINDU,12,RRBOP,SURF,supported,0.156251,0.301207,2,0.078126,0.132292,120075.650703,4029036.510000,9380.970249,15885.084005,0.232834,0.956535
