field,group_key,classification,driver_family,sample_size,cost_median,cost_p10,cost_p90,confidence_tier,estimator_readiness
DARAJAT,andalalin,campaign_tied,campaign_compliance,1,0.0,0.0,0.0,low,thin_sample
DARAJAT,api_non_api_machine_shop_service,well_tied,well_scope,11,54349.72,41026.32,78769.12,high,ready
DARAJAT,asset_transfer,well_tied,well_scope,11,6771.23,0.0,22400.72,high,ready
DARAJAT,bits_reamer_and_core_heads,well_tied,well_scope,16,143421.25,82932.4,267924.0,high,ready
DARAJAT,casing,well_tied,well_scope,16,437039.38,124716.065,800074.04,high,ready
DARAJAT,casing_installation,well_tied,well_scope,16,53522.195,28534.61,100758.355,high,ready
DARAJAT,casing_repair_modif,well_tied,well_scope,6,0.0,0.0,106134.425,high,ready
DARAJAT,cement_cementing_pump_fees,well_tied,well_scope,16,504443.715,405152.255,777963.195,high,ready
DARAJAT,construction,hybrid,pad_expansion_flag,5,784372.53,160909.402,1382168.744,high,ready
DARAJAT,consumables,well_tied,well_scope,11,19820.82,7653.56,26370.44,high,ready
DARAJAT,contract_rig,well_tied,well_scope,16,919209.835,597722.95,1313836.48,high,ready
DARAJAT,coring,well_tied,well_scope,11,0.0,0.0,0.0,high,ready
DARAJAT,directional_drilling_surveys,well_tied,well_scope,15,401366.06,271196.092,703561.25,high,ready
DARAJAT,drill_cutting_transport_process,campaign_tied,waste_support,2,437240.915,432393.751,442088.079,low,thin_sample
DARAJAT,drilling_facilities_support,campaign_tied,shared_support,2,149679.79,118930.23,180429.35,low,thin_sample
DARAJAT,drilling_operation_water_support,campaign_tied,shared_support,3,383588.08,182518.944,884272.768,medium,ready
DARAJAT,drilling_safety_health_environment,well_tied,well_scope,16,12953.515,3635.865,66301.4,high,ready
DARAJAT,engineering,hybrid,pad_expansion_flag,6,22345.59,5733.52,55653.42,high,ready
DARAJAT,environment_permit,campaign_tied,campaign_compliance,2,19128.855,19000.203,19257.507,low,thin_sample
DARAJAT,environmental_monitoring,campaign_tied,campaign_compliance,2,15802.32,12106.064,19498.576,low,thin_sample
DARAJAT,equipment_rental,well_tied,well_scope,22,399261.51,7876.768,785665.111,high,ready
DARAJAT,explosive,well_tied,well_scope,2,70887.64,32318.536,109456.744,low,thin_sample
DARAJAT,explosive_handling_permitting,well_tied,well_scope,11,29044.52,10541.25,41017.02,high,ready
DARAJAT,fuel_lubricants,well_tied,well_scope,16,353286.745,230683.825,570841.485,high,ready
DARAJAT,hardware_supply,campaign_tied,shared_support,2,12727.465,6585.285,18869.645,low,thin_sample
DARAJAT,hazardous_waste,campaign_tied,waste_support,2,46386.55,24261.206,68511.894,low,thin_sample
DARAJAT,heavy_equipment_for_drill_cutting,campaign_tied,waste_support,2,38610.62,25396.148,51825.092,low,thin_sample
DARAJAT,installation_hook_up_pre_commisioning,hybrid,tie_in_flag,3,908012.89,822786.426,2253113.522,medium,ready
DARAJAT,insurance,campaign_tied,shared_support,3,232821.26,203426.676,285089.652,medium,ready
DARAJAT,internet_and_it_support_service,campaign_tied,shared_support,1,0.0,0.0,0.0,low,thin_sample
DARAJAT,ipal,campaign_tied,campaign_compliance,1,0.0,0.0,0.0,low,thin_sample
DARAJAT,land_transportation,well_tied,well_scope,16,84877.73,45807.86,150613.155,high,ready
DARAJAT,lih,campaign_tied,campaign_compliance,2,0.0,0.0,0.0,low,thin_sample
DARAJAT,material,well_tied,well_scope,2,470271.335,383121.123,557421.547,low,thin_sample
DARAJAT,material_ll,hybrid,pad_expansion_flag,7,60098.57,0.0,1597171.516,high,ready
DARAJAT,material_non_ll,hybrid,pad_expansion_flag,7,114836.25,57080.632,629915.822,high,ready
DARAJAT,mud_chemical_and_engineering_service,well_tied,well_scope,15,401556.19,309160.954,773677.058,high,ready
DARAJAT,mud_logging_service,well_tied,well_scope,16,43341.49,29270.5,78096.995,high,ready
DARAJAT,ndt_inspection,well_tied,well_scope,11,33042.43,14136.94,61439.88,high,ready
DARAJAT,open_hole_electrical_logging_service,well_tied,well_scope,12,17909.49,0.0,237439.2,high,ready
DARAJAT,other_transportation,well_tied,well_scope,11,12170.25,0.0,18849.94,high,ready
DARAJAT,others,well_tied,well_scope,6,182442.43,70972.835,265393.705,high,ready
DARAJAT,permitting,campaign_tied,campaign_compliance,1,156205.65,156205.65,156205.65,low,thin_sample
DARAJAT,pgpa,campaign_tied,campaign_compliance,3,82973.05,42371.706,498925.578,medium,ready
DARAJAT,project_management_cost,campaign_tied,shared_support,1,14086.9,14086.9,14086.9,low,thin_sample
