field,campaign_canonical,campaign_code,campaign_raw,campaign_year,well_raw,well_canonical,level_2,level_3,level_4,level_5,pricing_basis,unit_price_basis,quantity_value,unit_price_usd,actual_cost_usd,actual_depth_ft,actual_days,npt_days,active_operational_days,data_quality_flag,source_workbook,source_sheet,source_row_key
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,General,,Surface Facilities Cost,Conductor Casing Installation & Material,Services,Service,campaign_scope_benchmark,campaign,1.000000,570474.380000,570474.380000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,221
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,General,,Support Cost,Drilling Operation Water Support,Drilling Operation Water Support,Drilling Operation Water Support,campaign_scope_benchmark,campaign,1.000000,1009443.940000,1009443.940000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,216
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,General,,Support Cost,PGPA & Security,PGPA,PGPA,campaign_scope_benchmark,campaign,1.000000,602913.710000,602913.710000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,217
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,General,,Drilling Cost,Rig Mobilization,Rig Mobilization,Rig Mobilization,campaign_scope_benchmark,campaign,1.000000,3136274.380000,3136274.380000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,135
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,General,,Drilling Cost,Rig Move,Interpad Move,Rig Move,campaign_scope_benchmark,campaign,1.000000,1337803.550000,1337803.550000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,136
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,General,,Surface Facilities Cost,Special Requirement Existing Pad,Construction,Construction,campaign_scope_benchmark,campaign,1.000000,1183965.080000,1183965.080000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,222
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,General,,Surface Facilities Cost,Tie-in,Construction,"Installation, Hook Up & Pre-Commisioning",campaign_scope_benchmark,campaign,1.000000,2589388.680000,2589388.680000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,223
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,General,,Surface Facilities Cost,Tie-in,Procurement,Material - LL,campaign_scope_benchmark,campaign,1.000000,3295100.560000,3295100.560000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,224
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,General,,Surface Facilities Cost,Tie-in,Procurement,Material - Non LL,campaign_scope_benchmark,campaign,1.000000,440017.110000,440017.110000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,225
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-44OH,DRJ-44,Drilling Cost,Well Cost,Material - LL,Casing,depth_rate,ft_md,5860.000000,62.773672,367853.720000,5860.000000,24.937500,0.041667,24.895833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,137
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-45OH,DRJ-45,Drilling Cost,Well Cost,Material - LL,Casing,depth_rate,ft_md,5977.000000,95.698243,571988.400000,5977.000000,65.302083,1.333333,63.968750,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,138
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-46OH,DRJ-46,Drilling Cost,Well Cost,Material - LL,Casing,depth_rate,ft_md,5836.000000,91.245291,532507.520000,5836.000000,40.687500,0.083333,40.604167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,139
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-47OH,DRJ-47,Drilling Cost,Well Cost,Material - LL,Casing,depth_rate,ft_md,5902.000000,77.025718,454605.790000,5902.000000,25.000000,0.125000,24.875000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,140
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-48,DRJ-48,Drilling Cost,Well Cost,Material - LL,Casing,depth_rate,ft_md,5399.500000,66.648562,359868.910000,5399.500000,21.479167,0.052083,21.427083,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,141
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-44OH,DRJ-44,Drilling Cost,Well Cost,Material - LL,Equipment Rental,depth_rate,ft_md,5860.000000,63.175561,370208.790000,5860.000000,24.937500,0.041667,24.895833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,142
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-45OH,DRJ-45,Drilling Cost,Well Cost,Material - LL,Equipment Rental,depth_rate,ft_md,5977.000000,144.373467,862920.210000,5977.000000,65.302083,1.333333,63.968750,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,143
