field,campaign_canonical,campaign_year,well_canonical,well_name_actual,estimator_well_type,exclude_from_estimator_pool,exclusion_reason,actual_depth_ft,actual_days,npt_days,active_operational_days,pace_days_per_1000ft,ft_per_active_day,service_time_band,active_day_cost_usd,active_day_rate_usd_per_day,depth_cost_usd,depth_rate_usd_per_ft,per_well_job_cost_usd,total_direct_well_cost_usd
DARAJAT,DARAJAT_2019,2019,DRJ-44,DRJ-44,Standard-J,no,,5860.000000,24.937500,0.041667,24.895833,4.248436,235.380756,Standard,3116828.310000,125194.778982,1098791.430000,187.507070,0.000000,4215619.740000
DARAJAT,DARAJAT_2019,2019,DRJ-45,DRJ-45,Standard-J,no,,5977.000000,65.302083,1.333333,63.968750,10.702485,93.436248,Careful,4493770.150000,70249.460088,2062341.850000,345.046319,0.000000,6556112.000000
DARAJAT,DARAJAT_2019,2019,DRJ-46,DRJ-46,Standard-J,no,,5836.000000,40.687500,0.083333,40.604167,6.957534,143.729091,Careful,4456502.120000,109754.797334,1512649.630000,259.192877,0.000000,5969151.750000
DARAJAT,DARAJAT_2019,2019,DRJ-47,DRJ-47,Standard-J,no,,5902.000000,25.000000,0.125000,24.875000,4.214673,237.266332,Standard,3579468.340000,143898.224724,1224326.640000,207.442670,0.000000,4803794.980000
DARAJAT,DARAJAT_2019,2019,DRJ-48,DRJ-48,Standard-J,no,,5399.500000,21.479167,0.052083,21.427083,3.968346,251.994170,Standard,4561181.580000,212869.926345,1017920.230000,188.521202,0.000000,5579101.810000
DARAJAT,DARAJAT_2022,2022,DRJ-38,DRJ-38RD,Standard-J,no,,6748.000000,30.000000,3.812500,26.187500,3.880779,257.680191,Standard,3360162.260000,128311.685346,552053.480000,81.809941,0.000000,3912215.740000
DARAJAT,DARAJAT_2022,2022,DRJ-49,DRJ-49,Standard-J,no,,6310.000000,35.020833,0.083333,34.937500,5.536846,180.608229,Careful,3783745.380000,108300.404436,999130.820000,158.340859,0.000000,4782876.200000
DARAJAT,DARAJAT_2022,2022,DRJ-50,DRJ-50,Standard-J,no,,5749.000000,29.229167,0.072917,29.156250,5.071534,197.178992,Standard,3096897.320000,106217.271426,969905.880000,168.708624,0.000000,4066803.200000
DARAJAT,DARAJAT_2022,2022,DRJ-51,DRJ-51,Standard-J,no,,4993.000000,29.437500,0.208333,29.229167,5.854029,170.822521,Careful,3230602.890000,110526.683501,967880.350000,193.847456,0.000000,4198483.240000
DARAJAT,DARAJAT_2022,2022,DRJ-52,DRJ-52,Standard-J,no,,5765.000000,20.375000,0.062500,20.312500,3.523417,283.815385,Fast,2497078.920000,122933.116062,1010166.750000,175.224068,0.000000,3507245.670000
DARAJAT,DARAJAT_2023_2024,2024,DRJ-53,DRJ-53,Standard-J,no,,6500.000000,22.770833,0.145833,22.625000,3.480769,287.292818,Fast,3356946.880000,148373.342762,252626.730000,38.865651,0.000000,3609573.610000
DARAJAT,DARAJAT_2023_2024,2024,DRJ-54,DRJ-54,Standard-J,no,,6014.000000,29.687500,6.916667,22.770833,3.786304,264.109793,Fast,3832106.670000,168290.139847,1357447.960000,225.714659,0.000000,5189554.630000
DARAJAT,DARAJAT_2023_2024,2024,DRJ-55,DRJ-55,Standard-J,no,,6000.000000,18.229167,0.270833,17.958333,2.993056,334.106735,Fast,3055537.580000,170145.947288,1304405.510000,217.400918,0.000000,4359943.090000
DARAJAT,DARAJAT_2023_2024,2024,DRJ-56,DRJ-56,Standard-J,no,,6500.000000,50.312500,0.083333,50.229167,7.727564,129.406884,Careful,5683442.410000,113150.242169,1242535.800000,191.159354,0.000000,6925978.210000
