classification_key,field,wbs_code_lv5,wbs_lvl2,wbs_lvl3,wbs_lvl4,wbs_lvl5,classification,classification_confidence,classification_rule_id,classification_rule_text,recommended_allocation_basis,include_for_modeling_initial,review_status,review_notes,supporting_row_count,supporting_cost_total
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010101-D225301|E530-30101010160-D225301,DARAJAT,E530-30101010160-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010101-D225301,E530-30101010160-D225301,well_tied,high,R1_TAG_WELL,Tag_Well_or_Pad=Well indicates direct well attribution.,direct_to_well,yes,approved_auto,,1,26370.440000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010204-D225301,DARAJAT,E530-30101010204-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010204-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,980.000000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010205-D225301,DARAJAT,E530-30101010205-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010205-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,821879.000000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010207-D225301,DARAJAT,E530-30101010207-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010207-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,369513.610000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010208-D225301,DARAJAT,E530-30101010208-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010208-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,120098.500000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010209-D225301,DARAJAT,E530-30101010209-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010209-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,438722.440000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010210-D225301,DARAJAT,E530-30101010210-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010210-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,401366.060000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010211-D225301,DARAJAT,E530-30101010211-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010211-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,51885.170000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010212-D225301,DARAJAT,E530-30101010212-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010212-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,634852.060000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010213-D225301,DARAJAT,E530-30101010213-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010213-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,29312.000000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010214-D225301,DARAJAT,E530-30101010214-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010214-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,64482.040000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010215-D225301,DARAJAT,E530-30101010215-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010215-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,86100.330000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010216-D225301,DARAJAT,E530-30101010216-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010216-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,74087.430000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010217-D225301,DARAJAT,E530-30101010217-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010217-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,20360.220000
