classification_key,field,wbs_code_lv5,wbs_lvl5,wbs_family_tag,example_wbs_label,supporting_cost_total,estimation_class,driver_family,well_estimation_use,campaign_estimation_use,approval_status,approval_basis,approval_notes
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010101-D225301|E530-30101010160-D225301,DARAJAT,E530-30101010160-D225301,E530-30101010160-D225301,Consumables,Consumables 14-1,26370.440000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010204-D225301,DARAJAT,E530-30101010204-D225301,E530-30101010204-D225301,Service Lines & Communication,Service Lines & Comm 14-1,980.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P052,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010205-D225301,DARAJAT,E530-30101010205-D225301,E530-30101010205-D225301,Contract Rig,Contract Rig 14-1,821879.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P035,curated_well_scope Material item above USD 500k; included in the material review queue.
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010207-D225301,DARAJAT,E530-30101010207-D225301,E530-30101010207-D225301,"Mud, Chemical and Engineering Service","Mud, Chemical and Eng Serv 14-1",369513.610000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P046,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010208-D225301,DARAJAT,E530-30101010208-D225301,E530-30101010208-D225301,"Bits, Reamer and Core heads","Bits, Reamer and Core heads 14-1",120098.500000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P032,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010209-D225301,DARAJAT,E530-30101010209-D225301,E530-30101010209-D225301,Equipment Rental,Equipment Rental 14-1,438722.440000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P039,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010210-D225301,DARAJAT,E530-30101010210-D225301,E530-30101010210-D225301,Directional Drilling & Surveys,Directional Drilling & Surveys 14-1,401366.060000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P037,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010211-D225301,DARAJAT,E530-30101010211-D225301,E530-30101010211-D225301,Casing Installation,Casing Installation 14-1,51885.170000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P033,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010212-D225301,DARAJAT,E530-30101010212-D225301,E530-30101010212-D225301,"Cement, Cementing & Pump Fees","Cement, Cementing & Pump Fees 14-1",634852.060000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P034,curated_well_scope Material item above USD 500k; included in the material review queue.
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010213-D225301,DARAJAT,E530-30101010213-D225301,E530-30101010213-D225301,Mud Logging Service,Mud Logging Service 14-1,29312.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P045,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010214-D225301,DARAJAT,E530-30101010214-D225301,E530-30101010214-D225301,Open Hole Electrical Logging Service,Open Hole Electrical Logging Services 14-1,64482.040000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P048,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010215-D225301,DARAJAT,E530-30101010215-D225301,E530-30101010215-D225301,Supervision,Supervision 14-1,86100.330000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P053,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010216-D225301,DARAJAT,E530-30101010216-D225301,E530-30101010216-D225301,Land Transportation,Land Transportation 14-1,74087.430000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P042,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010217-D225301,DARAJAT,E530-30101010217-D225301,E530-30101010217-D225301,Other Transportation,Other Transportation 14-1,20360.220000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P049,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010220-D225301,DARAJAT,E530-30101010220-D225301,E530-30101010220-D225301,"Drilling Safety, Health & Environment","Drilling Safety, Health & Enviro 14-1",0.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P038,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010224-D225301,DARAJAT,E530-30101010224-D225301,E530-30101010224-D225301,Explosive Handling & Permitting,Explosive Handling & Permitting 14-1,40772.110000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P041,curated_well_scope
