classification_key,field,wbs_lvl4,wbs_lvl5,supporting_cost_total,suggested_tag,suggestion_basis
DARAJAT|E530-30203-D235301|E530-3020386-D235301|E530-302038609-D235301|E530-30203860962-D235301,DARAJAT,E530-302038609-D235301,E530-30203860962-D235301,998367.290000,campaign,approved_hybrid_scope:pad_expansion_flag
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015601-D245401|E540-30101560123-D245401,SALAK,E540-301015601-D245401,E540-30101560123-D245401,830091.900000,campaign,approved_hybrid_scope:interpad_move_count
DARAJAT|E530-30101-D225301|E530-3010156-D225301|E530-301015601-D225301|E530-30101560123-D225301,DARAJAT,E530-301015601-D225301,E530-30101560123-D225301,694657.640000,campaign,approved_hybrid_scope:interpad_move_count
DARAJAT|E530-30101-D225301|E530-3010156-D225301|E530-301015602-D225301|E530-30101560223-D225301,DARAJAT,E530-301015602-D225301,E530-30101560223-D225301,694133.150000,campaign,approved_hybrid_scope:interpad_move_count
DARAJAT|E530-30101-D235301|E530-3010156-D235301|E530-301015602-D235301|E530-30101560223-D235301,DARAJAT,E530-301015602-D235301,E530-30101560223-D235301,629396.870000,campaign,approved_hybrid_scope:interpad_move_count
DARAJAT|E530-30101-D235301|E530-3010156-D235301|E530-301015601-D235301|E530-30101560123-D235301,DARAJAT,E530-301015601-D235301,E530-30101560123-D235301,565608.620000,campaign,approved_hybrid_scope:interpad_move_count
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015603-D245401|E540-30101560323-D245401,SALAK,E540-301015603-D245401,E540-30101560323-D245401,510117.080000,campaign,approved_hybrid_scope:interpad_move_count
DARAJAT|E530-30203-D235301|E530-3020388-D235301|E530-302038809-D235301|E530-30203880963-D235301,DARAJAT,E530-302038809-D235301,E530-30203880963-D235301,413724.300000,campaign,approved_hybrid_scope:tie_in_flag
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015602-D245401|E540-30101560223-D245401,SALAK,E540-301015602-D245401,E540-30101560223-D245401,363781.780000,campaign,approved_hybrid_scope:interpad_move_count
DARAJAT|E530-30101-D235301|E530-3010156-D235301|E530-301015603-D235301|E530-30101560323-D235301,DARAJAT,E530-301015603-D235301,E530-30101560323-D235301,362861.520000,campaign,approved_hybrid_scope:interpad_move_count
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015602-D245401|E540-30101560205-D245401,SALAK,E540-301015602-D245401,E540-30101560205-D245401,345435.730000,campaign,approved_hybrid_scope:interpad_move_count
DARAJAT|E530-30203-D225301|E530-3020384-D225301|E530-302038409-D225301|E530-30203840962-D225301,DARAJAT,E530-302038409-D225301,E530-30203840962-D225301,340780.820000,campaign,approved_hybrid_scope:pad_expansion_flag
SALAK|E540-30203-D245401|E540-3020387-D245401|E540-302038708-D245401|E540-30203870860-D245401,SALAK,E540-302038708-D245401,E540-30203870860-D245401,336048.410000,campaign,approved_hybrid_scope:tie_in_flag
DARAJAT|E530-30203-D235301|E530-3020390-D235301|E530-302039009-D235301|E530-30203900963-D235301,DARAJAT,E530-302039009-D235301,E530-30203900963-D235301,332808.460000,campaign,approved_hybrid_scope:tie_in_flag
DARAJAT|E530-30203-D225301|E530-3020387-D225301|E530-302038708-D225301|E530-30203870821-D225301,DARAJAT,E530-302038708-D225301,E530-30203870821-D225301,303251.530000,campaign,approved_hybrid_scope:pad_expansion_flag
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015603-D245401|E540-30101560305-D245401,SALAK,E540-301015603-D245401,E540-30101560305-D245401,289576.330000,campaign,approved_hybrid_scope:interpad_move_count
DARAJAT|E530-30203-D235301|E530-3020394-D235301|E530-302039408-D235301|E530-30203940860-D235301,DARAJAT,E530-302039408-D235301,E530-30203940860-D235301,286145.230000,campaign,approved_hybrid_scope:pad_expansion_flag
DARAJAT|E530-30203-D235301|E530-3020384-D235301|E530-302038409-D235301|E530-30203840962-D235301,DARAJAT,E530-302038409-D235301,E530-30203840962-D235301,285749.380000,campaign,approved_hybrid_scope:pad_expansion_flag
SALAK|E540-30203-D245401|E540-3020388-D245401|E540-302038808-D245401|E540-30203880860-D245401,SALAK,E540-302038808-D245401,E540-30203880860-D245401,255919.060000,campaign,approved_hybrid_scope:tie_in_flag
DARAJAT|E530-30203-D225301|E530-3020389-D225301|E530-302038908-D225301|E530-30203890821-D225301,DARAJAT,E530-302038908-D225301,E530-30203890821-D225301,235311.070000,campaign,approved_hybrid_scope:pad_expansion_flag
DARAJAT|E530-30203-D225301|E530-3020383-D225301|E530-302038309-D225301|E530-30203830962-D225301,DARAJAT,E530-302038309-D225301,E530-30203830962-D225301,234998.020000,campaign,approved_hybrid_scope:pad_expansion_flag
DARAJAT|E530-30203-D235301|E530-3020390-D235301|E530-302039008-D235301|E530-30203900821-D235301,DARAJAT,E530-302039008-D235301,E530-30203900821-D235301,234054.440000,campaign,approved_hybrid_scope:tie_in_flag
SALAK|E540-30203-D245401|E540-3020384-D245401|E540-302038409-D245401|E540-30203840962-D245401,SALAK,E540-302038409-D245401,E540-30203840962-D245401,231616.970000,campaign,approved_hybrid_scope:pad_expansion_flag
DARAJAT|E530-30203-D235301|E530-3020383-D235301|E530-302038309-D235301|E530-30203830962-D235301,DARAJAT,E530-302038309-D235301,E530-30203830962-D235301,230187.850000,campaign,approved_hybrid_scope:pad_expansion_flag
DARAJAT|E530-30101-D225301|E530-3010156-D225301|E530-301015603-D225301|E530-30101560323-D225301,DARAJAT,E530-301015603-D225301,E530-30101560323-D225301,226964.090000,campaign,approved_hybrid_scope:interpad_move_count
DARAJAT|E530-30203-D225301|E530-3020386-D225301|E530-302038609-D225301|E530-30203860962-D225301,DARAJAT,E530-302038609-D225301,E530-30203860962-D225301,217964.530000,campaign,approved_hybrid_scope:pad_expansion_flag
SALAK|E540-30203-D245401|E540-3020385-D245401|E540-302038509-D245401|E540-30203850962-D245401,SALAK,E540-302038509-D245401,E540-30203850962-D245401,212923.340000,campaign,approved_hybrid_scope:pad_expansion_flag
