classification_key,field,wbs_lvl5,wbs_family_tag,reason_for_review,approval_status,observed_patterns,supporting_row_count,supporting_cost_total,proposed_classification,driver_family
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010205-D225301,DARAJAT,E530-30101010205-D225301,Contract Rig,material_threshold,approved_policy,R2_POLICY_P035,1,821879.000000,well_tied,well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010212-D225301,DARAJAT,E530-30101010212-D225301,"Cement, Cementing & Pump Fees",material_threshold,approved_policy,R2_POLICY_P034,1,634852.060000,well_tied,well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010161-D225301|E530-30101016101-D225301,DARAJAT,E530-30101016101-D225301,Casing,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,532953.130000,well_tied,well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020205-D225301,DARAJAT,E530-30101020205-D225301,Contract Rig,material_threshold,approved_policy,R2_POLICY_P035,1,577880.000000,well_tied,well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010261-D225301|E530-30101026118-D225301,DARAJAT,E530-30101026118-D225301,Fuel & Lubricants,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,587193.810000,well_tied,well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030205-D225301,DARAJAT,E530-30101030205-D225301,Contract Rig,material_threshold,approved_policy,R2_POLICY_P035,1,838855.140000,well_tied,well_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040205-D225301,DARAJAT,E530-30101040205-D225301,Contract Rig,material_threshold,approved_policy,R2_POLICY_P035,1,1033044.740000,well_tied,well_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040212-D225301,DARAJAT,E530-30101040212-D225301,"Cement, Cementing & Pump Fees",material_threshold,approved_policy,R2_POLICY_P034,1,728386.400000,well_tied,well_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050205-D225301,DARAJAT,E530-30101050205-D225301,Contract Rig,material_threshold,approved_policy,R2_POLICY_P035,1,867517.380000,well_tied,well_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050209-D225301,DARAJAT,E530-30101050209-D225301,Equipment Rental,material_threshold,approved_policy,R2_POLICY_P039,1,798979.460000,well_tied,well_scope
DARAJAT|E530-30101-D225301|E530-3010156-D225301|E530-301015601-D225301|E530-30101560123-D225301,DARAJAT,E530-30101560123-D225301,Rig Move,material_threshold,approved_policy,R2_POLICY_P010,1,694657.640000,hybrid,interpad_move_count
DARAJAT|E530-30101-D225301|E530-3010156-D225301|E530-301015602-D225301|E530-30101560223-D225301,DARAJAT,E530-30101560223-D225301,Rig Move,material_threshold,approved_policy,R2_POLICY_P010,1,694133.150000,hybrid,interpad_move_count
DARAJAT|E530-30101-D225301|E530-3010169-D225301|E530-301016966-D225301|E530-30101696623-D225301,DARAJAT,E530-30101696623-D225301,Rig Mobilization,material_threshold,approved_policy,R2_POLICY_P012,1,2200569.610000,campaign_tied,campaign_logistics
DARAJAT|E530-30101-D235301|E530-3010102-D235301|E530-301010202-D235301|E530-30101020205-D235301,DARAJAT,E530-30101020205-D235301,Contract Rig,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,977166.300000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010102-D235301|E530-301010202-D235301|E530-30101020209-D235301,DARAJAT,E530-30101020209-D235301,Equipment Rental,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,582091.740000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010102-D235301|E530-301010202-D235301|E530-30101020210-D235301,DARAJAT,E530-30101020210-D235301,Directional Drilling & Surveys,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,566232.970000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010102-D235301|E530-301010261-D235301|E530-30101026101-D235301,DARAJAT,E530-30101026101-D235301,Casing,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,555950.620000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010103-D235301|E530-301010302-D235301|E530-30101030205-D235301,DARAJAT,E530-30101030205-D235301,Contract Rig,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,783052.640000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010103-D235301|E530-301010302-D235301|E530-30101030212-D235301,DARAJAT,E530-30101030212-D235301,"Cement, Cementing & Pump Fees",material_threshold,approved_auto,R1_DICT_WELL_TAG,1,531994.690000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010103-D235301|E530-301010361-D235301|E530-30101036101-D235301,DARAJAT,E530-30101036101-D235301,Casing,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,889177.810000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010104-D235301|E530-301010402-D235301|E530-30101040205-D235301,DARAJAT,E530-30101040205-D235301,Contract Rig,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,1174500.150000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010104-D235301|E530-301010402-D235301|E530-30101040207-D235301,DARAJAT,E530-30101040207-D235301,"Mud, Chemical and Engineering Service",material_threshold,approved_auto,R1_DICT_WELL_TAG,1,697896.500000,well_tied,well_scope
