classification_rule_id,key_count
R1_DICT_WELL_TAG,524
R2_POLICY_P001,9
R2_POLICY_P002,9
R2_POLICY_P003,9
R2_POLICY_P004,9
R2_POLICY_P005,16
R2_POLICY_P006,19
R2_POLICY_P007,14
R2_POLICY_P008,14
R2_POLICY_P009,1
R2_POLICY_P010,15
R2_POLICY_P011,10
R2_POLICY_P012,5
R2_POLICY_P013,1
R2_POLICY_P014,1
R2_POLICY_P015,4
R2_POLICY_P016,3
R2_POLICY_P017,3
R2_POLICY_P018,2
R2_POLICY_P019,2
R2_POLICY_P020,3
R2_POLICY_P021,4
R2_POLICY_P022,2
R2_POLICY_P023,2
R2_POLICY_P024,1
R2_POLICY_P025,3
R2_POLICY_P026,1
R2_POLICY_P027,3
R2_POLICY_P028,2
R2_POLICY_P029,1
R2_POLICY_P030,3
R2_POLICY_P031,5
R2_POLICY_P032,5
R2_POLICY_P033,5
R2_POLICY_P034,5
R2_POLICY_P035,5
R2_POLICY_P036,5
R2_POLICY_P037,5
R2_POLICY_P038,5
R2_POLICY_P039,5
R2_POLICY_P040,3
R2_POLICY_P041,5
R2_POLICY_P042,5
R2_POLICY_P043,1
R2_POLICY_P044,9
R2_POLICY_P045,5
R2_POLICY_P046,5
R2_POLICY_P047,5
R2_POLICY_P048,5
R2_POLICY_P049,5
R2_POLICY_P050,5
R2_POLICY_P051,9
R2_POLICY_P052,5
R2_POLICY_P053,5
R2_POLICY_P054,5
R2_POLICY_P055,5
