source_row_id,field,campaign_canonical,well_raw,well_base_canonical,well_instance_id,well_canonical,mapping_method,confidence,source_text_used
274032449f2fdd0a,DARAJAT,DARAJAT_2019,GENERAL,,,,none,low,Rig Mobilization | Rig Mobilization | Rig Mobilization
046fdf644c9034b9,DARAJAT,DARAJAT_2019,GENERAL,,,,none,low,Rig Move | Interpad Move | Rig Move
b92d710f0ba24dbf,DARAJAT,DARAJAT_2019,DRJ-44OH,DRJ-44,DARAJAT_2019|DRJ-44,DRJ-44,campaign_alias_match,high,Casing | Material - LL | Casing
1ca4914fb1fbdb73,DARAJAT,DARAJAT_2019,DRJ-45OH,DRJ-45,DARAJAT_2019|DRJ-45,DRJ-45,campaign_alias_match,high,Casing | Material - LL | Casing
b7e2472b5051c51d,DARAJAT,DARAJAT_2019,DRJ-46OH,DRJ-46,DARAJAT_2019|DRJ-46,DRJ-46,campaign_alias_match,high,Casing | Material - LL | Casing
9615d635fd0e3dc5,DARAJAT,DARAJAT_2019,DRJ-47OH,DRJ-47,DARAJAT_2019|DRJ-47,DRJ-47,campaign_alias_match,high,Casing | Material - LL | Casing
476b995f89890eac,DARAJAT,DARAJAT_2019,DRJ-48,DRJ-48,DARAJAT_2019|DRJ-48,DRJ-48,campaign_alias_match,high,Casing | Material - LL | Casing
706dc193fbd95ac6,DARAJAT,DARAJAT_2019,DRJ-44OH,DRJ-44,DARAJAT_2019|DRJ-44,DRJ-44,campaign_alias_match,high,Equipment Rental | Material - LL | Equipment Rental
fc8a21a182f087ab,DARAJAT,DARAJAT_2019,DRJ-45OH,DRJ-45,DARAJAT_2019|DRJ-45,DRJ-45,campaign_alias_match,high,Equipment Rental | Material - LL | Equipment Rental
a531c6b26d609d8e,DARAJAT,DARAJAT_2019,DRJ-46OH,DRJ-46,DARAJAT_2019|DRJ-46,DRJ-46,campaign_alias_match,high,Equipment Rental | Material - LL | Equipment Rental
ce047c6ba375871a,DARAJAT,DARAJAT_2019,DRJ-47OH,DRJ-47,DARAJAT_2019|DRJ-47,DRJ-47,campaign_alias_match,high,Equipment Rental | Material - LL | Equipment Rental
227ceee0de0ab543,DARAJAT,DARAJAT_2019,DRJ-48,DRJ-48,DARAJAT_2019|DRJ-48,DRJ-48,campaign_alias_match,high,Equipment Rental | Material - LL | Equipment Rental
4307c57e654c7cf9,DARAJAT,DARAJAT_2019,DRJ-44OH,DRJ-44,DARAJAT_2019|DRJ-44,DRJ-44,campaign_alias_match,high,Fuel & Lubricants | Material - LL | Fuel & Lubricants
f6a5a608b9be3710,DARAJAT,DARAJAT_2019,DRJ-45OH,DRJ-45,DARAJAT_2019|DRJ-45,DRJ-45,campaign_alias_match,high,Fuel & Lubricants | Material - LL | Fuel & Lubricants
d5fcb77146f67f7a,DARAJAT,DARAJAT_2019,DRJ-46OH,DRJ-46,DARAJAT_2019|DRJ-46,DRJ-46,campaign_alias_match,high,Fuel & Lubricants | Material - LL | Fuel & Lubricants
493d76e4259dfb59,DARAJAT,DARAJAT_2019,DRJ-47OH,DRJ-47,DARAJAT_2019|DRJ-47,DRJ-47,campaign_alias_match,high,Fuel & Lubricants | Material - LL | Fuel & Lubricants
1f37cd387f33a341,DARAJAT,DARAJAT_2019,DRJ-48,DRJ-48,DARAJAT_2019|DRJ-48,DRJ-48,campaign_alias_match,high,Fuel & Lubricants | Material - LL | Fuel & Lubricants
48e00ffc2f1bdb86,DARAJAT,DARAJAT_2019,DRJ-44OH,DRJ-44,DARAJAT_2019|DRJ-44,DRJ-44,campaign_alias_match,high,Well Equipment Surface | Material - LL | Well Equipment Surface
219c35a7862921a4,DARAJAT,DARAJAT_2019,DRJ-45OH,DRJ-45,DARAJAT_2019|DRJ-45,DRJ-45,campaign_alias_match,high,Well Equipment Surface | Material - LL | Well Equipment Surface
19cd72b899e65d78,DARAJAT,DARAJAT_2019,DRJ-46OH,DRJ-46,DARAJAT_2019|DRJ-46,DRJ-46,campaign_alias_match,high,Well Equipment Surface | Material - LL | Well Equipment Surface
ae595cf425c1d341,DARAJAT,DARAJAT_2019,DRJ-47OH,DRJ-47,DARAJAT_2019|DRJ-47,DRJ-47,campaign_alias_match,high,Well Equipment Surface | Material - LL | Well Equipment Surface
6735a1f5f8b09ff0,DARAJAT,DARAJAT_2019,DRJ-48,DRJ-48,DARAJAT_2019|DRJ-48,DRJ-48,campaign_alias_match,high,Well Equipment Surface | Material - LL | Well Equipment Surface
d99f07f7845e22d2,DARAJAT,DARAJAT_2019,DRJ-44OH,DRJ-44,DARAJAT_2019|DRJ-44,DRJ-44,campaign_alias_match,high,"Bits, Reamer and Core heads | Services | Bits, Reamer and Core heads"
9cf8b6fb6dc9ec29,DARAJAT,DARAJAT_2019,DRJ-45OH,DRJ-45,DARAJAT_2019|DRJ-45,DRJ-45,campaign_alias_match,high,"Bits, Reamer and Core heads | Services | Bits, Reamer and Core heads"
eefe6af1bfaeac89,DARAJAT,DARAJAT_2019,DRJ-46OH,DRJ-46,DARAJAT_2019|DRJ-46,DRJ-46,campaign_alias_match,high,"Bits, Reamer and Core heads | Services | Bits, Reamer and Core heads"
7c5995b4e5fa2038,DARAJAT,DARAJAT_2019,DRJ-47OH,DRJ-47,DARAJAT_2019|DRJ-47,DRJ-47,campaign_alias_match,high,"Bits, Reamer and Core heads | Services | Bits, Reamer and Core heads"
fb5f933d438c58ab,DARAJAT,DARAJAT_2019,DRJ-48,DRJ-48,DARAJAT_2019|DRJ-48,DRJ-48,campaign_alias_match,high,"Bits, Reamer and Core heads | Services | Bits, Reamer and Core heads"
c32da909fb8093cd,DARAJAT,DARAJAT_2019,DRJ-44OH,DRJ-44,DARAJAT_2019|DRJ-44,DRJ-44,campaign_alias_match,high,Casing Installation | Services | Casing Installation
5c476928e40926ea,DARAJAT,DARAJAT_2019,DRJ-45OH,DRJ-45,DARAJAT_2019|DRJ-45,DRJ-45,campaign_alias_match,high,Casing Installation | Services | Casing Installation
090b861008b04907,DARAJAT,DARAJAT_2019,DRJ-46OH,DRJ-46,DARAJAT_2019|DRJ-46,DRJ-46,campaign_alias_match,high,Casing Installation | Services | Casing Installation
cc335577a5263f23,DARAJAT,DARAJAT_2019,DRJ-47OH,DRJ-47,DARAJAT_2019|DRJ-47,DRJ-47,campaign_alias_match,high,Casing Installation | Services | Casing Installation
082c809a746250fc,DARAJAT,DARAJAT_2019,DRJ-48,DRJ-48,DARAJAT_2019|DRJ-48,DRJ-48,campaign_alias_match,high,Casing Installation | Services | Casing Installation
a93c5d9cb3a7aad4,DARAJAT,DARAJAT_2019,DRJ-44OH,DRJ-44,DARAJAT_2019|DRJ-44,DRJ-44,campaign_alias_match,high,"Cement, Cementing & Pump Fees | Services | Cement, Cementing & Pump Fees"
4b901808aeb70c48,DARAJAT,DARAJAT_2019,DRJ-45OH,DRJ-45,DARAJAT_2019|DRJ-45,DRJ-45,campaign_alias_match,high,"Cement, Cementing & Pump Fees | Services | Cement, Cementing & Pump Fees"
6429349a5cbb729c,DARAJAT,DARAJAT_2019,DRJ-46OH,DRJ-46,DARAJAT_2019|DRJ-46,DRJ-46,campaign_alias_match,high,"Cement, Cementing & Pump Fees | Services | Cement, Cementing & Pump Fees"
3b2d196f2601ac34,DARAJAT,DARAJAT_2019,DRJ-47OH,DRJ-47,DARAJAT_2019|DRJ-47,DRJ-47,campaign_alias_match,high,"Cement, Cementing & Pump Fees | Services | Cement, Cementing & Pump Fees"
21dc30194a0e6831,DARAJAT,DARAJAT_2019,DRJ-48,DRJ-48,DARAJAT_2019|DRJ-48,DRJ-48,campaign_alias_match,high,"Cement, Cementing & Pump Fees | Services | Cement, Cementing & Pump Fees"
e64716c6d6b9cdb2,DARAJAT,DARAJAT_2019,DRJ-44OH,DRJ-44,DARAJAT_2019|DRJ-44,DRJ-44,campaign_alias_match,high,Contract Rig | Services | Contract Rig
2bc5c0319a0f3ae7,DARAJAT,DARAJAT_2019,DRJ-45OH,DRJ-45,DARAJAT_2019|DRJ-45,DRJ-45,campaign_alias_match,high,Contract Rig | Services | Contract Rig
34b08db1dae4c70a,DARAJAT,DARAJAT_2019,DRJ-46OH,DRJ-46,DARAJAT_2019|DRJ-46,DRJ-46,campaign_alias_match,high,Contract Rig | Services | Contract Rig
a798f633357e4a86,DARAJAT,DARAJAT_2019,DRJ-47OH,DRJ-47,DARAJAT_2019|DRJ-47,DRJ-47,campaign_alias_match,high,Contract Rig | Services | Contract Rig
51cbb980caa4fb43,DARAJAT,DARAJAT_2019,DRJ-48,DRJ-48,DARAJAT_2019|DRJ-48,DRJ-48,campaign_alias_match,high,Contract Rig | Services | Contract Rig
80dbd506555b9d23,DARAJAT,DARAJAT_2019,DRJ-44OH,DRJ-44,DARAJAT_2019|DRJ-44,DRJ-44,campaign_alias_match,high,Directional Drilling & Surveys | Services | Directional Drilling & Surveys
be154b8fa1301507,DARAJAT,DARAJAT_2019,DRJ-46OH,DRJ-46,DARAJAT_2019|DRJ-46,DRJ-46,campaign_alias_match,high,Directional Drilling & Surveys | Services | Directional Drilling & Surveys
393ea739272f7126,DARAJAT,DARAJAT_2019,DRJ-47OH,DRJ-47,DARAJAT_2019|DRJ-47,DRJ-47,campaign_alias_match,high,Directional Drilling & Surveys | Services | Directional Drilling & Surveys
4361d990c31c6c35,DARAJAT,DARAJAT_2019,DRJ-48,DRJ-48,DARAJAT_2019|DRJ-48,DRJ-48,campaign_alias_match,high,Directional Drilling & Surveys | Services | Directional Drilling & Surveys
