well_alias,well_canonical,source_sheet,alias_type,resolution_method,is_modeling_master
14-1,DRJ-51,Cost & Technical Data,source_observation,direct_match,yes
14-1,DRJ-51,Data.Summary,source_observation,direct_match,yes
14-1,DRJ-51,WellView.Data,source_observation,direct_match,yes
14-1,DRJ-51,alias_catalog,manual_alias,manual_alias_map,yes
14-2,DRJ-52,Cost & Technical Data,source_observation,direct_match,yes
14-2,DRJ-52,Data.Summary,source_observation,direct_match,yes
14-2,DRJ-52,WellView.Data,source_observation,direct_match,yes
14-2,DRJ-52,alias_catalog,manual_alias,manual_alias_map,yes
20-1,DRJ-50,Cost & Technical Data,source_observation,direct_match,yes
20-1,DRJ-50,Data.Summary,source_observation,direct_match,yes
20-1,DRJ-50,Data.Summary,source_observation,posting_exception,no
20-1,DRJ-50,WellView.Data,source_observation,direct_match,yes
20-1,DRJ-50,alias_catalog,manual_alias,manual_alias_map,yes
AWI 10-4,AWI 10-4,2. Drilling.Data.History,history_observation,out_of_scope,no
AWI 16-8,AWI 16-8,2. Drilling.Data.History,history_observation,out_of_scope,no
AWI 16-9,AWI 16-9,2. Drilling.Data.History,history_observation,out_of_scope,no
AWI 2-6,AWI 2-6,2. Drilling.Data.History,history_observation,history_reassigned_unique_master,yes
AWI 2-6,AWI 2-6,Cost & Technical Data,source_observation,direct_match,yes
AWI 2-6,AWI 2-6,Data.Summary,source_observation,direct_match,yes
AWI 2-6,AWI 2-6,WellView.Data,source_observation,direct_match,yes
AWI 2-7 ML,AWI 2-7 ML,2. Drilling.Data.History,history_observation,history_reassigned_unique_master,yes
AWI 2-7 ML,AWI 2-7 ML,Cost & Technical Data,source_observation,direct_match,yes
AWI 2-7 ML,AWI 2-7 ML,Data.Summary,source_observation,direct_match,yes
AWI 2-7 ML,AWI 2-7 ML,WellView.Data,source_observation,direct_match,yes
AWI 21-5,AWI 21-5,2. Drilling.Data.History,history_observation,out_of_scope,no
AWI 21-6,AWI 21-6,2. Drilling.Data.History,history_observation,out_of_scope,no
AWI 21-7,AWI 21-7,2. Drilling.Data.History,history_observation,history_reassigned_unique_master,yes
AWI 21-7,AWI 21-7,Cost & Technical Data,source_observation,direct_match,yes
AWI 21-7,AWI 21-7,Data.Summary,source_observation,direct_match,yes
AWI 21-7,AWI 21-7,WellView.Data,source_observation,direct_match,yes
AWI 21-8,AWI 21-8,2. Drilling.Data.History,history_observation,history_reassigned_unique_master,yes
AWI 21-8,AWI 21-8,Cost & Technical Data,source_observation,direct_match,yes
AWI 21-8,AWI 21-8,Data.Summary,source_observation,direct_match,yes
AWI 21-8,AWI 21-8,WellView.Data,source_observation,direct_match,yes
AWI 23-1,AWI 23-1,2. Drilling.Data.History,history_observation,history_reassigned_unique_master,yes
AWI 23-1,AWI 23-1,Cost & Technical Data,source_observation,direct_match,yes
AWI 23-1,AWI 23-1,Data.Summary,source_observation,direct_match,yes
AWI 23-1,AWI 23-1,WellView.Data,source_observation,direct_match,yes
