field,campaign_canonical,well_base_canonical,well_instance_id,well_canonical,actual_depth,actual_days,npt_days,deviation_type,source_sheet,confidence,notes
WAYANG WINDU,WAYANG_WINDU_2018,MBA-6,WAYANG_WINDU_2018|MBA-6,MBA-6,5732.000000,27.250000,0.020833,standard,General.Camp.Data,high,MBA-6
WAYANG WINDU,WAYANG_WINDU_2018,MBA-7,WAYANG_WINDU_2018|MBA-7,MBA-7,4965.000000,24.895833,1.531250,standard,General.Camp.Data,high,MBA-7
WAYANG WINDU,WAYANG_WINDU_2018,MBD-7,WAYANG_WINDU_2018|MBD-7,MBD-7,4997.000000,38.770833,0.125000,standard,General.Camp.Data,high,MBD-7
WAYANG WINDU,WAYANG_WINDU_2018,MBD-8,WAYANG_WINDU_2018|MBD-8,MBD-8,4140.000000,50.604167,2.187500,standard,General.Camp.Data,high,MBD-8
DARAJAT,DARAJAT_2019,DRJ-48,DARAJAT_2019|DRJ-48,DRJ-48,5399.500000,21.479167,0.052083,standard,General.Camp.Data,high,DRJ 20 NE
DARAJAT,DARAJAT_2019,DRJ-47,DARAJAT_2019|DRJ-47,DRJ-47,5902.000000,25.000000,0.125000,standard,General.Camp.Data,high,DRJ S4 SW
DARAJAT,DARAJAT_2019,DRJ-44,DARAJAT_2019|DRJ-44,DRJ-44,5860.000000,24.937500,0.041667,standard,General.Camp.Data,high,DRJ 20 WNW
DARAJAT,DARAJAT_2019,DRJ-45,DARAJAT_2019|DRJ-45,DRJ-45,5977.000000,65.302083,1.333333,standard,General.Camp.Data,high,DRJ S4SSE
DARAJAT,DARAJAT_2019,DRJ-46,DARAJAT_2019|DRJ-46,DRJ-46,5836.000000,40.687500,0.083333,standard,General.Camp.Data,high,DRJ S4S
WAYANG WINDU,WAYANG_WINDU_2021,MBI-1,WAYANG_WINDU_2021|MBI-1,MBI-1,4325.000000,10.916667,0.020833,standard,General.Camp.Data,high,MBI 1
WAYANG WINDU,WAYANG_WINDU_2021,WWA-9,WAYANG_WINDU_2021|WWA-9,WWA-9,7158.000000,14.854167,0.062500,standard,General.Camp.Data,high,WWA 9
WAYANG WINDU,WAYANG_WINDU_2021,WWA-8,WAYANG_WINDU_2021|WWA-8,WWA-8,5263.000000,45.229167,0.843750,standard,General.Camp.Data,high,WWA 8
WAYANG WINDU,WAYANG_WINDU_2021,MBE-7,WAYANG_WINDU_2021|MBE-7,MBE-7,7065.000000,24.104167,0.291667,standard,General.Camp.Data,high,MBE 07
WAYANG WINDU,WAYANG_WINDU_2021,MBE-6,WAYANG_WINDU_2021|MBE-6,MBE-6,4500.000000,15.229167,0.125000,standard,General.Camp.Data,high,MBE 06
WAYANG WINDU,WAYANG_WINDU_2021,MBD-8WO,WAYANG_WINDU_2021|MBD-8WO,MBD-8WO,0.000000,0.000000,0.000000,standard,General.Camp.Data,high,MBD 8 WO
SALAK,SALAK_2021,AWI 21-6,SALAK_2021|AWI 21-6,AWI 21-6,4918.000000,8.916667,0.000000,standard,General.Camp.Data,high,AWI 21-06
SALAK,SALAK_2021,AWI 21-5,SALAK_2021|AWI 21-5,AWI 21-5,4685.000000,22.062500,0.072917,standard,General.Camp.Data,high,AWI 21-05
SALAK,SALAK_2021,AWI 16-9,SALAK_2021|AWI 16-9,AWI 16-9,5379.000000,18.270833,0.000000,standard,General.Camp.Data,high,AWI 16-09
SALAK,SALAK_2021,AWI 16-8,SALAK_2021|AWI 16-8,AWI 16-8,5000.000000,17.250000,0.114583,standard,General.Camp.Data,high,AWI 16-08
SALAK,SALAK_2021,AWI 9-10,SALAK_2021|AWI 9-10,AWI 9-10,8919.000000,22.000000,0.041667,redrill,General.Camp.Data,high,AWI 9-10
DARAJAT,DARAJAT_2022,DRJ-51,DARAJAT_2022|DRJ-51,DRJ-51,4993.000000,29.437500,0.208333,standard,General.Camp.Data,high,DRJ 14-1
DARAJAT,DARAJAT_2022,DRJ-52,DARAJAT_2022|DRJ-52,DRJ-52,5765.000000,20.375000,0.062500,standard,General.Camp.Data,high,DRJ 14-2
DARAJAT,DARAJAT_2022,DRJ-50,DARAJAT_2022|DRJ-50,DRJ-50,5749.000000,29.229167,0.072917,standard,General.Camp.Data,high,DRJ 20-1
DARAJAT,DARAJAT_2022,DRJ-49,DARAJAT_2022|DRJ-49,DRJ-49,6310.000000,35.020833,0.083333,standard,General.Camp.Data,high,DRJ SF-1
DARAJAT,DARAJAT_2022,DRJ-38RD,DARAJAT_2022|DRJ-38RD,DRJ-38RD,6748.000000,30.000000,3.812500,multileg,General.Camp.Data,high,DRJ SF-ML
DARAJAT,DARAJAT_2023_2024,DRJ-53,DARAJAT_2023_2024|DRJ-53,DRJ-53,6500.000000,22.770833,0.145833,standard,General.Camp.Data,high,DRJ Steam 6
DARAJAT,DARAJAT_2023_2024,DRJ-54,DARAJAT_2023_2024|DRJ-54,DRJ-54,6014.000000,29.687500,6.916667,side-tracked,General.Camp.Data,high,DRJ Steam 2
DARAJAT,DARAJAT_2023_2024,DRJ-55,DARAJAT_2023_2024|DRJ-55,DRJ-55,6000.000000,18.229167,0.270833,standard,General.Camp.Data,high,DRJ Steam 3
DARAJAT,DARAJAT_2023_2024,DRJ-56,DARAJAT_2023_2024|DRJ-56,DRJ-56,6500.000000,50.312500,0.083333,side-tracked,General.Camp.Data,high,DRJ Steam 4
DARAJAT,DARAJAT_2023_2024,DRJ-57,DARAJAT_2023_2024|DRJ-57,DRJ-57,6000.000000,18.854167,0.020833,standard,General.Camp.Data,high,DRJ Steam 5
SALAK,SALAK_2025_2026,AWI 21-8,SALAK_2025_2026|AWI 21-8,AWI 21-8,4055.000000,13.916667,0.187500,standard,General.Camp.Data,high,AWI 21-8
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,5060.000000,16.416667,0.083333,standard,General.Camp.Data,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 3-9,SALAK_2025_2026|AWI 3-9,AWI 3-9,5500.000000,12.583333,0.145833,standard,General.Camp.Data,high,AWI 3-9
SALAK,SALAK_2025_2026,AWI 23-1,SALAK_2025_2026|AWI 23-1,AWI 23-1,9000.000000,13.697917,0.041667,standard,General.Camp.Data,high,AWI 23-1
SALAK,SALAK_2025_2026,AWI 23-2,SALAK_2025_2026|AWI 23-2,AWI 23-2,8050.000000,20.000000,0.020833,standard,General.Camp.Data,high,AWI 23-2
