field,campaign_canonical,well_base_canonical,well_instance_id,well_canonical,event_ref_no,event_type,event_major_category,event_detail,event_duration_days,deviation_type,mapping_method,confidence,source_text_used
,,AWI 10-4,,AWI 10-4,1,DC,EQPS,CRANE,0.500000,standard,well_alias_context_bridge,low,AWI 10-4
,,AWI 10-4,,AWI 10-4,1,NPT,WO,PERSONNEL,0.083333,standard,well_alias_context_bridge,low,AWI 10-4
,,AWI 10-4,,AWI 10-4,2,DC,EQPS,CRANE,0.416667,standard,well_alias_context_bridge,low,AWI 10-4
,,AWI 10-4,,AWI 10-4,3,NPT,WO,HES,2.041667,standard,well_alias_context_bridge,low,AWI 10-4
,,AWI 10-4,,AWI 10-4,4,NPT,WO,REG PERMIT,11.416667,standard,well_alias_context_bridge,low,AWI 10-4
,,AWI 10-4,,AWI 10-4,5,NPT,FSH,FSH ALL OH,5.125000,standard,well_alias_context_bridge,low,AWI 10-4
,,AWI 10-4,,AWI 10-4,6,NPT,EQPS,CIRSYS,0.041667,standard,well_alias_context_bridge,low,AWI 10-4
,,AWI 10-4,,AWI 10-4,7,NPT,RREQ,CIRSYS,0.208333,standard,well_alias_context_bridge,low,AWI 10-4
,,AWI 10-4,,AWI 10-4,8,NPT,WO,SUPPLIES,0.270833,standard,well_alias_context_bridge,low,AWI 10-4
,,AWI 10-4,,AWI 10-4,9,NPT,EQP,CSG LN,0.083333,standard,well_alias_context_bridge,low,AWI 10-4
,,AWI 10-4,,AWI 10-4,10,DC,WP,TIGHT HOLE,0.583333,standard,well_alias_context_bridge,low,AWI 10-4
,,AWI 10-4,,AWI 10-4,11,NPT,RREQ,TOP DRIVE,0.083333,standard,well_alias_context_bridge,low,AWI 10-4
SALAK,SALAK_2021,AWI 16-8,SALAK_2021|AWI 16-8,AWI 16-8,1,NPT,RREQ,TOP DRIVE,0.114583,standard,well_alias_context_bridge,high,AWI 16-8
SALAK,SALAK_2021,AWI 16-8,SALAK_2021|AWI 16-8,AWI 16-8,2,NPT,RREQ,TOP DRIVE,0.187500,standard,well_alias_context_bridge,high,AWI 16-8
SALAK,SALAK_2021,AWI 16-8,SALAK_2021|AWI 16-8,AWI 16-8,3,NPT,RREQ,TOP DRIVE,0.104167,standard,well_alias_context_bridge,high,AWI 16-8
SALAK,SALAK_2021,AWI 16-8,SALAK_2021|AWI 16-8,AWI 16-8,4,NPT,EQP,BHA,0.083333,standard,well_alias_context_bridge,high,AWI 16-8
SALAK,SALAK_2021,AWI 16-8,SALAK_2021|AWI 16-8,AWI 16-8,5,NPT,RREQ,PIPE HANDL,0.020833,standard,well_alias_context_bridge,high,AWI 16-8
SALAK,SALAK_2021,AWI 16-8,SALAK_2021|AWI 16-8,AWI 16-8,6,NPT,RREQ,TOP DRIVE,0.031250,standard,well_alias_context_bridge,high,AWI 16-8
SALAK,SALAK_2021,AWI 16-8,SALAK_2021|AWI 16-8,AWI 16-8,7,NPT,RREQ,CIRSYS,0.020833,standard,well_alias_context_bridge,high,AWI 16-8
SALAK,SALAK_2025_2026,AWI 2-6,SALAK_2025_2026|AWI 2-6,AWI 2-6,1,NPT,EQPS,CIRSYS,0.458333,standard,well_alias_context_bridge,high,AWI 2-6
SALAK,SALAK_2025_2026,AWI 2-6,SALAK_2025_2026|AWI 2-6,AWI 2-6,2,NPT,EQPS,CIRSYS,0.229167,standard,well_alias_context_bridge,high,AWI 2-6
SALAK,SALAK_2025_2026,AWI 2-7,SALAK_2025_2026|AWI 2-7,AWI 2-7 ML,1,NPT,RREQ,COMPTR,0.041667,multileg,well_alias_context_bridge,high,AWI 2-7 ML
SALAK,SALAK_2025_2026,AWI 2-7,SALAK_2025_2026|AWI 2-7,AWI 2-7 ML,2,NPT,RREQ,PIPE HANDL,0.062500,multileg,well_alias_context_bridge,high,AWI 2-7 ML
SALAK,SALAK_2025_2026,AWI 2-7,SALAK_2025_2026|AWI 2-7,AWI 2-7 ML,3,NPT,EQPS,CIRSYS,2.395833,multileg,well_alias_context_bridge,high,AWI 2-7 ML
SALAK,SALAK_2025_2026,AWI 2-7,SALAK_2025_2026|AWI 2-7,AWI 2-7 ML,4,NPT,RREQ,DW HOIST,0.041667,multileg,well_alias_context_bridge,high,AWI 2-7 ML
SALAK,SALAK_2025_2026,AWI 2-7,SALAK_2025_2026|AWI 2-7,AWI 2-7 ML,5,NPT,SW,TOOL FAIL,0.041667,multileg,well_alias_context_bridge,high,AWI 2-7 ML
SALAK,SALAK_2025_2026,AWI 2-7,SALAK_2025_2026|AWI 2-7,AWI 2-7 ML,6,NPT,WC,KICK,0.062500,multileg,well_alias_context_bridge,high,AWI 2-7 ML
SALAK,SALAK_2025_2026,AWI 2-7,SALAK_2025_2026|AWI 2-7,AWI 2-7 ML,7,NPT,RREQ,PIPE HANDL,0.020833,multileg,well_alias_context_bridge,high,AWI 2-7 ML
SALAK,SALAK_2021,AWI 21-5,SALAK_2021|AWI 21-5,AWI 21-5,1,NPT,WO,EQP,0.072917,standard,well_alias_context_bridge,high,AWI 21-5
SALAK,SALAK_2021,AWI 21-5,SALAK_2021|AWI 21-5,AWI 21-5,2,NPT,RREQ,EQP,0.083333,standard,well_alias_context_bridge,high,AWI 21-5
SALAK,SALAK_2021,AWI 21-5,SALAK_2021|AWI 21-5,AWI 21-5,3,NPT,RREQ,CIRSYS,0.010417,standard,well_alias_context_bridge,high,AWI 21-5
SALAK,SALAK_2021,AWI 21-5,SALAK_2021|AWI 21-5,AWI 21-5,4,NPT,RREQ,CIRSYS,0.281250,standard,well_alias_context_bridge,high,AWI 21-5
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,1,NPT,EQPS,CSG HAN,0.083333,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,2,NPT,EQPS,PIPE HANDL,0.010417,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,3,NPT,WC,KICK,0.041667,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,4,NPT,WC,KICK,0.010417,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,5,NPT,WC,KICK,0.052083,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,6,NPT,EQPS,PIPE HANDL,0.062500,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,7,NPT,RREQ,ROT,0.104167,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,8,NPT,EQPS,CIRSYS,0.020833,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,9,NPT,EQP,CSG LN,0.020833,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,10,NPT,EQPS,PIPE HANDL,0.041667,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,11,NPT,PR,ERROR,0.020833,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,12,NPT,EQPS,CIRSYS,0.125000,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,13,NPT,EQPS,PIPE HANDL,0.041667,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,14,NPT,RREQ,DW HOIST,0.062500,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-7,SALAK_2025_2026|AWI 21-7,AWI 21-7,15,NPT,WC,KICK,0.020833,standard,well_alias_context_bridge,high,AWI 21-7
SALAK,SALAK_2025_2026,AWI 21-8,SALAK_2025_2026|AWI 21-8,AWI 21-8,2,NPT,EQPS,EL UNIT,0.187500,standard,well_alias_context_bridge,high,AWI 21-8
SALAK,SALAK_2025_2026,AWI 21-8,SALAK_2025_2026|AWI 21-8,AWI 21-8,3,NPT,RREQ,COMPTR,0.166667,standard,well_alias_context_bridge,high,AWI 21-8
SALAK,SALAK_2025_2026,AWI 21-8,SALAK_2025_2026|AWI 21-8,AWI 21-8,4,NPT,EQPS,PIPE HANDL,0.020833,standard,well_alias_context_bridge,high,AWI 21-8
SALAK,SALAK_2025_2026,AWI 21-8,SALAK_2025_2026|AWI 21-8,AWI 21-8,5,NPT,EQPS,PIPE HANDL,0.020833,standard,well_alias_context_bridge,high,AWI 21-8
SALAK,SALAK_2025_2026,AWI 21-8,SALAK_2025_2026|AWI 21-8,AWI 21-8,6,NPT,WC,KICK,0.041667,standard,well_alias_context_bridge,high,AWI 21-8
SALAK,SALAK_2025_2026,AWI 21-8,SALAK_2025_2026|AWI 21-8,AWI 21-8,7,NPT,RREQ,EQP,0.020833,standard,well_alias_context_bridge,high,AWI 21-8
SALAK,SALAK_2025_2026,AWI 21-8,SALAK_2025_2026|AWI 21-8,AWI 21-8,8,NPT,WO,RIG,0.041667,standard,well_alias_context_bridge,high,AWI 21-8
