well_id,well_name,well_canonical,well_aliases,field,campaign_code,campaign_id,well_sequence_in_campaign,well_order_label,well_order_basis,well_order_note,status,region,operator,include_for_estimator,include_for_well_training,training_note
MBA-6,MBA-6,MBA-6,"[""MBA-6""]",WAYANG_WINDU,E500-2-0-8501-185003,WAYANG_WINDU_2018,,,,,in_scope_estimator,,,yes,yes,
MBA-7,MBA-7,MBA-7,"[""MBA-7""]",WAYANG_WINDU,E500-2-0-8501-185003,WAYANG_WINDU_2018,,,,,in_scope_estimator,,,yes,yes,
MBD-7,MBD-7,MBD-7,"[""MBD-7""]",WAYANG_WINDU,E500-2-0-8501-185003,WAYANG_WINDU_2018,,,,,in_scope_estimator,,,yes,yes,
MBD-8,MBD-8,MBD-8,"[""MBD-8""]",WAYANG_WINDU,E500-2-0-8501-185003,WAYANG_WINDU_2018,,,,,in_scope_estimator,,,yes,yes,
MBD-8WO,MBD-8WO,MBD-8WO,"[""MBD 8 WO"", ""MBD-8WO""]",WAYANG_WINDU,E500-30101-D205011,WAYANG_WINDU_2021,,,,,in_scope_estimator,,,yes,yes,
MBE-6,MBE-6,MBE-6,"[""MBE 06"", ""MBE-6""]",WAYANG_WINDU,E500-30101-D205011,WAYANG_WINDU_2021,,,,,in_scope_estimator,,,yes,yes,
MBE-7,MBE-7,MBE-7,"[""MBE 07"", ""MBE-7""]",WAYANG_WINDU,E500-30101-D205011,WAYANG_WINDU_2021,,,,,in_scope_estimator,,,yes,yes,
MBI-1,MBI-1,MBI-1,"[""MBI 1"", ""MBI-1""]",WAYANG_WINDU,E500-30101-D205011,WAYANG_WINDU_2021,,,,,in_scope_estimator,,,yes,yes,
WWA-8,WWA-8,WWA-8,"[""WWA 8"", ""WWA-8""]",WAYANG_WINDU,E500-30101-D205011,WAYANG_WINDU_2021,,,,,in_scope_estimator,,,yes,yes,
WWA-9,WWA-9,WWA-9,"[""WWA 9"", ""WWA-9""]",WAYANG_WINDU,E500-30101-D205011,WAYANG_WINDU_2021,,,,,in_scope_estimator,,,yes,yes,
